,motor_name,motor_price,listing_type,brand,model,engine_cap,classification,reg_date,coe_exp_date,mileage,no_of_owners,type_of_vehicle
767,Bajaj Discover 125,0,-,Bajaj,Bajaj Discover 125,125cc,Class 2B,00/00/00,00/00/00,0km,0,Street Bikes
768,Bajaj Dominar 400,0,-,Bajaj,Bajaj Dominar 400,373cc,Class 2A,00/00/00,00/00/00,0km,0,Street Bikes
769,Bajaj Platina,0,-,Bajaj,Bajaj Platina,102cc,Class 2B,00/00/00,00/00/00,0km,0,Street Bikes
770,Bajaj Pulsar 150,0,-,Bajaj,Bajaj Pulsar 150,149cc,Class 2B,00/00/00,00/00/00,0km,0,Street Bikes
771,Bajaj Pulsar 180F,0,-,Bajaj,Bajaj Pulsar 180F,178cc,Class 2B,00/00/00,00/00/00,0km,0,Street Bikes
772,Bajaj Pulsar NS200,0,-,Bajaj,Bajaj Pulsar NS200,199cc,Class 2B,00/00/00,00/00/00,0km,0,Street Bikes
773,Bajaj Pulsar RS200,0,-,Bajaj,Bajaj Pulsar RS200,199cc,Class 2B,00/00/00,00/00/00,0km,0,Sport Bikes
774,Benelli 302R,0,-,Benelli,Benelli 302R,300cc,Class 2A,00/00/00,00/00/00,0km,0,Sport Bikes
775,Benelli Leoncino,0,-,Benelli,Benelli Leoncino,499cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
776,Benelli RFS150i,0,-,Benelli,Benelli RFS150i,149cc,Class 2B,00/00/00,00/00/00,0km,0,Cubs
777,Benelli TNT135,0,-,Benelli,Benelli TNT135,134cc,Class 2B,00/00/00,00/00/00,0km,0,Super Motards
778,Benelli TNT300,0,-,Benelli,Benelli TNT300,300cc,Class 2A,00/00/00,00/00/00,0km,0,Street Bikes
779,Benelli TNT600,0,-,Benelli,Benelli TNT600,600cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
780,Benelli TRE1130K,0,-,Benelli,Benelli TRE1130K,1131cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
781,Benelli TRK502,0,-,Benelli,Benelli TRK502,499cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
782,Beta RR 200,0,-,Beta,Beta RR 200,190cc,Class 2B,00/00/00,00/00/00,0km,0,Scrambler/Dirt Bike
783,Beta RR 300,0,-,Beta,Beta RR 300,293cc,Class 2A,00/00/00,00/00/00,0km,0,Scrambler/Dirt Bike
784,Beta RR 300 Racing,0,-,Beta,Beta RR 300 Racing,293cc,Class 2A,00/00/00,00/00/00,0km,0,Scrambler/Dirt Bike
785,Beta Xtrainer 300,0,-,Beta,Beta Xtrainer 300,293cc,Class 2A,00/00/00,00/00/00,0km,0,Scrambler/Dirt Bike
786,Bimota BB3,0,-,Bimota,Bimota BB3,999cc,Class 2,00/00/00,00/00/00,0km,0,Sport Bikes
787,Bimota DB8,0,-,Bimota,Bimota DB8,1198cc,Class 2,00/00/00,00/00/00,0km,0,Sport Bikes
788,Bimota DB8 Oronero,0,-,Bimota,Bimota DB8 Oronero,1198cc,Class 2,00/00/00,00/00/00,0km,0,Sport Bikes
789,Bimota DB9,0,-,Bimota,Bimota DB9,1198cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
790,Bimota DBX,0,-,Bimota,Bimota DBX,1078cc,Class 2,00/00/00,00/00/00,0km,0,Super Motards
791,Bimota Tesi 3D,0,-,Bimota,Bimota Tesi 3D,1078cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
792,BMW C400 GT,0,-,BMW,BMW C400 GT,350cc,Class 2A,00/00/00,00/00/00,0km,0,Scooters
793,BMW C400X,0,-,BMW,BMW C400X,350cc,Class 2A,00/00/00,00/00/00,0km,0,Scooters
794,BMW C650 GT,0,-,BMW,BMW C650 GT,647cc,Class 2,00/00/00,00/00/00,0km,0,Scooters
795,BMW C650 Sport,0,-,BMW,BMW C650 Sport,647cc,Class 2,00/00/00,00/00/00,0km,0,Scooters
796,BMW F700GS,0,-,BMW,BMW F700GS,798cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
797,BMW F750GS,0,-,BMW,BMW F750GS,853cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
798,BMW F850GS,0,-,BMW,BMW F850GS,853cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
799,BMW F850GS Adventure,0,-,BMW,BMW F850GS Adventure,853cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
800,BMW G310GS,0,-,BMW,BMW G310GS,313cc,Class 2A,00/00/00,00/00/00,0km,0,Sport Tourers
801,BMW G310R,0,-,BMW,BMW G310R,313cc,Class 2A,00/00/00,00/00/00,0km,0,Street Bikes
802,BMW HP4 Race,0,-,BMW,BMW HP4 Race,999cc,Class 2,00/00/00,00/00/00,0km,0,Sport Bikes
803,BMW K1600 Grand America,0,-,BMW,BMW K1600 Grand America,1649cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
804,BMW K1600B,0,-,BMW,BMW K1600B,1649cc,Class 2,00/00/00,00/00/00,0km,0,Cruiser
805,BMW K1600GT,0,-,BMW,BMW K1600GT,1649cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
806,BMW K1600GTL,0,-,BMW,BMW K1600GTL,1649cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
807,BMW M1000RR,0,-,BMW,BMW M1000RR,999cc,Class 2,00/00/00,00/00/00,0km,0,Sport Bikes
808,BMW R NineT,0,-,BMW,BMW R NineT,1170cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
809,BMW R NineT Pure,0,-,BMW,BMW R NineT Pure,1170cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
810,BMW R NineT Racer,0,-,BMW,BMW R NineT Racer,1170cc,Class 2,00/00/00,00/00/00,0km,0,Classic Bikes
811,BMW R NineT Scrambler,0,-,BMW,BMW R NineT Scrambler,1170cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
812,BMW R NineT Urban GS,0,-,BMW,BMW R NineT Urban GS,1170cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
813,BMW R1200GS,0,-,BMW,BMW R1200GS,1170cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
814,BMW R1200GS Adventure,0,-,BMW,BMW R1200GS Adventure,1170cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
815,BMW R1200R,0,-,BMW,BMW R1200R,1170cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
816,BMW R1200RS,0,-,BMW,BMW R1200RS,1170cc,Class 2,00/00/00,00/00/00,0km,0,Sport Bikes
817,BMW R1200RT,0,-,BMW,BMW R1200RT,1170cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
818,BMW R1250GS,0,-,BMW,BMW R1250GS,1254cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
819,BMW R1250GS Adventure,0,-,BMW,BMW R1250GS Adventure,1254cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
820,BMW R1250R,0,-,BMW,BMW R1250R,1254cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
821,BMW R1250RT,0,-,BMW,BMW R1250RT,1254cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
822,BMW R18 Classic,0,-,BMW,BMW R18 Classic,1802cc,Class 2,00/00/00,00/00/00,0km,0,Cruiser
823,BMW S1000R,0,-,BMW,BMW S1000R,999cc,Class 2,00/00/00,00/00/00,0km,0,Street Bikes
824,BMW S1000RR,0,-,BMW,BMW S1000RR,999cc,Class 2,00/00/00,00/00/00,0km,0,Sport Bikes
825,BMW S1000XR,0,-,BMW,BMW S1000XR,999cc,Class 2,00/00/00,00/00/00,0km,0,Sport Tourers
826,Brixton Cromwell BX150,0,-,Brixton,Brixton Cromwell BX150,149cc,Class 2B,00/00/00,00/00/00,0km,0,Street Bikes
827,Brixton Felsberg 150,0,-,Brixton,Brixton Felsberg 150,150cc,Class 2B,00/00/00,00/00/00,0km,0,Street Bikes
828,Brixton Rayburn 125,0,-,Brixton,Brixton Rayburn 125,125cc,Class 2B,00/00/00,00/00/00,0km,0,Street Bikes
829,Can-Am Ryker,0,-,Can-Am,Can-Am Ryker,899cc,Class 2,00/00/00,00/00/00,0km,0,Three Wheeler
830,Can-Am Spyder F3,0,-,Can-Am,Can-Am Spyder F3,1330cc,Class 2,00/00/00,00/00/00,0km,0,Three Wheeler
831,Can-Am Spyder F3 Limited,0,-,Can-Am,Can-Am Spyder F3 Limited,1330cc,Class 2,00/00/00,00/00/00,0km,0,Three Wheeler
832,Can-Am Spyder F3-S,0,-,Can-Am,Can-Am Spyder F3-S,1330cc,Class 2,00/00/00,00/00/00,0km,0,Three Wheeler
833,Can-Am Spyder F3-T,0,-,Can-Am,Can-Am Spyder F3-T,1330cc,Class 2,00/00/00,00/00/00,0km,0,Three Wheeler
834,Can-Am Spyder RT,0,-,Can-Am,Can-Am Spyder RT,998cc,Class 2,00/00/00,00/00/00,0km,0,Three Wheeler
835,CFMoto 150NK,0,-,CFMoto,CFMoto 150NK,150cc,Class 2B,00/00/00,00/00/00,0km,0,Street Bikes
836,CFMoto 300SR,0,-,CFMoto,CFMoto 300SR,292cc,Class 2A,00/00/00,00/00/00,0km,0,Sport Bikes
837,CFMoto 400GT,0,-,CFMoto,CFMoto 400GT,400cc,Class 2A,00/00/00,00/00/00,0km,0,Sport Tourers
838,CFMoto 400NK,0,-,CFMoto,CFMoto 400NK,400cc,Class 2A,00/00/00,00/00/00,0km,0,Street Bikes
839,CFMoto 400NK,0,-,CFMoto,CFMoto 400NK,400cc,Class 2A,00/00/00,00/00/00,0km,0,Street Bikes
