,motor_name,motor_price,listing_type,brand,model,engine_cap,classification,reg_date,coe_exp_date,mileage,no_of_owners,type_of_vehicle
303,Yamaha Sniper 150,SGD$9300,Paid Ad,Yamaha,Yamaha Sniper 150,150cc,Class 2B,14/05/2018,13/05/2028 (5yrs 4mths 12days COE left),-,-,Cubs
304,Kawasaki Z800,SGD$6888,Paid Ad,Kawasaki,Kawasaki Z800,806cc,Class 2,24/01/2014,23/01/2024 (1yrs 22days COE left),72838km,3,Street Bikes
305,Suzuki GSR750,SGD$7500,Paid Ad,Suzuki,Suzuki GSR750,749cc,Class 2,10/06/2011,09/06/2021 (COE left),-,-,Street Bikes
306,Piaggio MP3 Yourban 300,SGD$11500,Paid Ad,Piaggio,Piaggio MP3 Yourban 300,278cc,Class 2A,16/05/2017,15/05/2027 (4yrs 4mths 14days COE left),-,-,Three Wheeler
307,Kawasaki ZX10R Ninja,SGD$47800,Paid Ad,Kawasaki,Kawasaki ZX10R Ninja,998cc,Class 2,13/08/2020,12/08/2030 (7yrs 7mths 11days COE left),-,1,Sport Bikes
308,BMW S1000R,SGD$18800,Paid Ad,BMW,BMW S1000R,999cc,Class 2,15/01/2015,14/01/2025 (2yrs 13days COE left),28800km,1,Street Bikes
309,Honda Wave 125,SGD$2100,Paid Ad,Honda,Honda Wave 125,125cc,Class 2B,05/03/2005,29/02/2024 (1yrs 1mths 28days COE left),99000km,4,Cubs
310,Honda Supra GTR150,SGD$10500,Paid Ad,Honda,Honda Supra GTR150,149cc,Class 2B,25/07/2020,24/07/2030 (7yrs 6mths 23days COE left),-,2,Cubs
311,Honda CB125R,SGD$9800,Paid Ad,Honda,Honda CB125R,125cc,Class 2B,17/03/2020,16/03/2030 (7yrs 2mths 15days COE left),35975km,-,Street Bikes
312,KTM 1290 Super Duke R,SGD$15888,Paid Ad,KTM,KTM 1290 Super Duke R,1301cc,Class 2,29/07/2014,28/07/2024 (1yrs 6mths 27days COE left),55974km,2,Street Bikes
313,Yamaha Aerox 155,SGD$9300,Paid Ad,Yamaha,Yamaha Aerox 155,155cc,Class 2B,29/11/2019,28/11/2029 (6yrs 10mths 27days COE left),-,-,Scooters
314,Gilera ST200 Runner,SGD$2800,Paid Ad,Gilera,Gilera ST200 Runner,198cc,Class 2B,17/04/2013,16/04/2023 (3mths 15days COE left),-,-,Scooters
315,Suzuki GSX-S1000,SGD$13800,Paid Ad,Suzuki,Suzuki GSX-S1000,999cc,Class 2,14/08/2015,13/08/2025 (2yrs 7mths 12days COE left),75000km,3,Street Bikes
316,Ducati SuperSport S,SGD$46800,Paid Ad,Ducati,Ducati SuperSport S,937cc,Class 2,26/11/2021,25/11/2031 (8yrs 10mths 24days COE left),9000km,1,Sport Bikes
317,BMW F850GS,SGD$30500,Paid Ad,BMW,BMW F850GS,853cc,Class 2,30/11/2018,29/11/2028 (5yrs 10mths 28days COE left),19561km,1,Sport Tourers
318,Honda CB150R ExMotion,SGD$12000,Paid Ad,Honda,Honda CB150R ExMotion,149cc,Class 2B,15/03/2018,14/03/2028 (5yrs 2mths 13days COE left),-,84965,Street Bikes
319,Ducati Scrambler Nightshift,SGD$30800,Paid Ad,Ducati,Ducati Scrambler Nightshift,803cc,Class 2,30/11/2021,29/11/2031 (8yrs 10mths 28days COE left),1100km,1,Street Bikes
320,Yamaha FZ16,SGD$6777,Paid Ad,Yamaha,Yamaha FZ16,153cc,Class 2B,16/01/2012,15/01/2027 (4yrs 14days COE left),-,-,Street Bikes
321,SYM Joymax 300i,SGD$1700,Paid Ad,SYM,SYM Joymax 300i,264cc,Class 2A,06/03/2013,05/03/2023 (2mths 4days COE left),-,-,Scooters
322,Yamaha MT-15 Xabre,SGD$8500,Paid Ad,Yamaha,Yamaha MT-15 Xabre,150cc,Class 2B,21/07/2017,20/07/2027 (4yrs 6mths 19days COE left),-,-,Street Bikes
323,MV Agusta Stradale 800,SGD$15500,Paid Ad,MV Agusta,MV Agusta Stradale 800,798cc,Class 2,10/04/2017,09/04/2027 (4yrs 3mths 8days COE left),45478km,1,Street Bikes
324,Honda NC750XA,SGD$23800,Paid Ad,Honda,Honda NC750XA,745cc,Class 2,25/02/2021,24/02/2031 (8yrs 1mths 23days COE left),2611km,1,Sport Tourers
325,BMW R18 Classic,SGD$56800,Paid Ad,BMW,BMW R18 Classic,1802cc,Class 2,24/12/2021,23/12/2031 (8yrs 11mths 22days COE left),1500km,1,Cruiser
326,BMW R NineT Scrambler,SGD$32800,Paid Ad,BMW,BMW R NineT Scrambler,1170cc,Class 2,21/11/2017,20/11/2027 (4yrs 10mths 19days COE left),13800km,1,Street Bikes
327,Yamaha X1-R 135,SGD$14500,Paid Ad,Yamaha,Yamaha X1-R 135,135cc,Class 2B,04/06/2010,31/03/2030 (7yrs 2mths 30days COE left),-,-,Cubs
328,Yamaha Aerox 155,SGD$12000,Paid Ad,Yamaha,Yamaha Aerox 155,155cc,Class 2B,13/03/2019,12/03/2029 (6yrs 2mths 11days COE left),-,-,Scooters
329,Honda CRF1000A Africa Twin,SGD$22900,Paid Ad,Honda,Honda CRF1000A Africa Twin,998cc,Class 2,14/03/2017,13/03/2027 (4yrs 2mths 12days COE left),115443km,2,Sport Tourers
330,CFMoto 700CL-X Sport,SGD$23999,Paid Ad,CFMoto,CFMoto 700CL-X Sport,693cc,Class 2,19/05/2022,18/05/2032 (9yrs 4mths 17days COE left),3000km,1,Street Bikes
331,Yamaha XA125 Cygnus,SGD$2800,Paid Ad,Yamaha,Yamaha XA125 Cygnus,125cc,Class 2B,04/08/2014,03/08/2024 (1yrs 7mths 2days COE left),7616km,6,Scooters
332,Honda CB150R ExMotion,SGD$10800,Paid Ad,Honda,Honda CB150R ExMotion,149cc,Class 2B,28/09/2018,27/09/2028 (5yrs 8mths 26days COE left),-,-,Street Bikes
333,Honda Adv 150,SGD$14500,Paid Ad,Honda,Honda Adv 150,149cc,Class 2B,28/08/2020,27/08/2030 (7yrs 7mths 26days COE left),-,-,Scooters
334,Honda PCX150,SGD$10500,Paid Ad,Honda,Honda PCX150,153cc,Class 2B,22/05/2018,21/05/2028 (5yrs 4mths 20days COE left),-,-,Scooters
335,Honda TA200 Phantom,SGD$3000,Paid Ad,Honda,Honda TA200 Phantom,197cc,Class 2B,18/05/2004,29/02/2024 (1yrs 1mths 28days COE left),-,-,Cruiser
336,Honda NC750X,SGD$13800,Paid Ad,Honda,Honda NC750X,745cc,Class 2,15/11/2016,14/11/2026 (3yrs 10mths 13days COE left),50000km,1,Sport Tourers
337,Lambretta V200 Special,SGD$13000,Paid Ad,Lambretta,Lambretta V200 Special,169cc,Class 2B,07/11/2019,06/11/2029 (6yrs 10mths 5days COE left),29248km,1,Scooters
338,BMW R NineT,SGD$53000,Paid Ad,BMW,BMW R NineT,1170cc,Class 2,28/10/2022,27/10/2032 (9yrs 9mths 26days COE left),-,-,Street Bikes
339,BMW R NineT,SGD$46888,Paid Ad,BMW,BMW R NineT,1170cc,Class 2,11/03/2022,10/03/2032 (9yrs 2mths 9days COE left),2691km,-,Street Bikes
340,Honda CB400X,SGD$8800,Paid Ad,Honda,Honda CB400X,399cc,Class 2A,16/07/2014,15/07/2024 (1yrs 6mths 14days COE left),100000km,3,Sport Tourers
341,Yamaha RXZ,SGD$18000,Paid Ad,Yamaha,Yamaha RXZ,133cc,Class 2B,02/06/2010,31/05/2030 (7yrs 4mths 30days COE left),-,-,Street Bikes
342,BMW F750GS,SGD$44800,Paid Ad,BMW,BMW F750GS,853cc,Class 2,31/10/2022,30/10/2032 (9yrs 9mths 29days COE left),-,-,Sport Tourers
343,Honda Wave 125,SGD$11500,Paid Ad,Honda,Honda Wave 125,125cc,Class 2B,16/07/2019,15/07/2029 (6yrs 6mths 14days COE left),36410km,1,Cubs
344,Honda CBR500R,SGD$6800,Paid Ad,Honda,Honda CBR500R,471cc,Class 2,03/09/2013,02/09/2023 (8mths 1days COE left),-,-,Sport Bikes
345,BMW R NineT,SGD$49800,Paid Ad,BMW,BMW R NineT,1170cc,Class 2,08/06/2022,07/06/2032 (9yrs 5mths 6days COE left),1200km,1,Street Bikes
346,BMW F900R,SGD$39000,Paid Ad,BMW,BMW F900R,895cc,Class 2,29/09/2022,28/09/2032 (9yrs 8mths 27days COE left),34km,-,Street Bikes
347,Yamaha MT-03,SGD$9800,Paid Ad,Yamaha,Yamaha MT-03,321cc,Class 2A,04/03/2016,03/03/2026 (3yrs 2mths 2days COE left),-,-,Street Bikes
348,SYM GTS 200,SGD$3500,Paid Ad,SYM,SYM GTS 200,172cc,Class 2B,06/10/2009,05/10/2024 (1yrs 9mths 4days COE left),80000km,2,Scooters
349,Honda Adv 150,SGD$15688,Paid Ad,Honda,Honda Adv 150,149cc,Class 2B,30/07/2021,29/07/2031 (8yrs 6mths 28days COE left),36338km,-,Scooters
350,Yamaha FZN150i,SGD$5500,Paid Ad,Yamaha,Yamaha FZN150i,149cc,Class 2B,28/05/2015,27/05/2025 (2yrs 4mths 26days COE left),64000km,-,Street Bikes
351,Honda PCX160,SGD$14688,Paid Ad,Honda,Honda PCX160,156cc,Class 2B,13/08/2021,12/08/2031 (8yrs 7mths 11days COE left),17197km,-,Scooters
352,Yamaha Tmax 530,SGD$14800,Paid Ad,Yamaha,Yamaha Tmax 530,530cc,Class 2,01/02/2016,31/01/2026 (3yrs 30days COE left),41500km,3,Scooters
353,BMW S1000R,SGD$56800,Paid Ad,BMW,BMW S1000R,999cc,Class 2,29/09/2022,28/09/2032 (9yrs 8mths 27days COE left),180km,1,Street Bikes
354,Honda Wave 125,SGD$7588,Paid Ad,Honda,Honda Wave 125,125cc,Class 2B,02/03/2012,28/02/2027 (4yrs 1mths 27days COE left),50000km,1,Cubs
355,Honda CB400X,SGD$17800,Paid Ad,Honda,Honda CB400X,399cc,Class 2A,04/10/2013,30/09/2032 (9yrs 8mths 29days COE left),-,-,Sport Tourers
356,Yamaha YZF-R3,SGD$17088,Paid Ad,Yamaha,Yamaha YZF-R3,321cc,Class 2A,30/03/2020,29/03/2030 (7yrs 2mths 28days COE left),11000km,1,Sport Bikes
357,SYM Joyride 200i Evo,SGD$7950,Paid Ad,SYM,SYM Joyride 200i Evo,171cc,Class 2B,31/07/2012,30/07/2027 (4yrs 6mths 29days COE left),86450km,-,Scooters
358,SYM Joyride S200i,SGD$12800,Paid Ad,SYM,SYM Joyride S200i,175cc,Class 2B,12/02/2020,11/02/2030 (7yrs 1mths 10days COE left),141600km,-,Scooters
359,Honda CB1000RA,SGD$13800,Paid Ad,Honda,Honda CB1000RA,998cc,Class 2,07/09/2015,06/09/2025 (2yrs 8mths 5days COE left),81000km,3,Street Bikes
360,Honda CB400 Super 4 Revo,SGD$16800,Paid Ad,Honda,Honda CB400 Super 4 Revo,399cc,Class 2A,28/06/2016,27/06/2026 (3yrs 5mths 26days COE left),84211km,-,Street Bikes
361,BMW F800GS,SGD$9500,Paid Ad,BMW,BMW F800GS,798cc,Class 2,05/04/2013,04/04/2023 (3mths 3days COE left),128000km,2,Sport Tourers
362,Honda Wave 125,SGD$13888,Paid Ad,Honda,Honda Wave 125,125cc,Class 2B,01/10/2012,30/09/2022 (COE left),-,-,Cubs
363,Yamaha FZ16 ST,SGD$7222,Paid Ad,Yamaha,Yamaha FZ16 ST,153cc,Class 2B,12/09/2012,11/09/2022 (COE left),-,-,Street Bikes
364,Yamaha FZ16 ST,SGD$7400,Paid Ad,Yamaha,Yamaha FZ16 ST,153cc,Class 2B,15/06/2012,14/06/2027 (4yrs 5mths 13days COE left),-,-,Street Bikes
365,Kawasaki Versys 1000,SGD$14800,Paid Ad,Kawasaki,Kawasaki Versys 1000,1043cc,Class 2,12/07/2017,11/07/2027 (4yrs 6mths 10days COE left),58800km,-,Sport Tourers
366,Ducati Hypermotard 796,SGD$15800,Paid Ad,Ducati,Ducati Hypermotard 796,803cc,Class 2,24/05/2010,23/05/2030 (7yrs 4mths 22days COE left),-,2,Super Motards
367,Yamaha XG250 Tricker,SGD$10000,Paid Ad,Yamaha,Yamaha XG250 Tricker,249cc,Class 2A,10/06/2008,31/12/2027 (4yrs 11mths 30days COE left),6100km,-,Scrambler/Dirt Bike
368,Yamaha MT-07,SGD$7555,Paid Ad,Yamaha,Yamaha MT-07,689cc,Class 2,18/12/2014,17/12/2024 (1yrs 11mths 16days COE left),32479km,-,Street Bikes
369,Harley Davidson Iron 883,SGD$27400,Paid Ad,Harley Davidson,Harley Davidson Iron 883,883cc,Class 2,11/09/2018,10/09/2028 (5yrs 8mths 9days COE left),-,-,Cruiser
370,Yamaha Xmax 300,SGD$17500,Paid Ad,Yamaha,Yamaha Xmax 300,292cc,Class 2A,19/03/2019,18/03/2029 (6yrs 2mths 17days COE left),-,-,Scooters
371,Yamaha FZ8-N,SGD$4900,Paid Ad,Yamaha,Yamaha FZ8-N,779cc,Class 2,31/01/2013,30/01/2023 (29days COE left),-,-,Street Bikes
372,MV Agusta Brutale 800 RR,SGD$42888,Paid Ad,MV Agusta,MV Agusta Brutale 800 RR,798cc,Class 2,02/06/2021,01/06/2031 (8yrs 5mths COE left),1868km,-,Street Bikes
373,Honda CB1300SA,SGD$12500,Paid Ad,Honda,Honda CB1300SA,1284cc,Class 2,17/09/2005,31/03/2025 (2yrs 2mths 30days COE left),-,-,Street Bikes
374,Triumph Tiger 1050,SGD$11000,Paid Ad,Triumph,Triumph Tiger 1050,1050cc,Class 2,09/09/2011,31/07/2031 (8yrs 6mths 30days COE left),-,-,Sport Tourers
375,Yamaha YZF-R15,SGD$7800,Paid Ad,Yamaha,Yamaha YZF-R15,150cc,Class 2B,28/12/2012,31/10/2027 (4yrs 9mths 30days COE left),-,-,Street Bikes
376,Ducati Monster 1100S,SGD$19500,Paid Ad,Ducati,Ducati Monster 1100S,1079cc,Class 2,25/05/2010,24/05/2030 (7yrs 4mths 23days COE left),44000km,3,Street Bikes
377,Yamaha Nmax 155,SGD$17500,Paid Ad,Yamaha,Yamaha Nmax 155,155cc,Class 2B,20/04/2022,19/04/2032 (9yrs 3mths 18days COE left),-,-,Scooters
378,Ducati Monster 796,SGD$19500,Paid Ad,Ducati,Ducati Monster 796,803cc,Class 2,23/03/2012,22/03/2032 (9yrs 2mths 21days COE left),78214km,5,Street Bikes
379,Harley Davidson Fat Boy 114,SGD$59800,Paid Ad,Harley Davidson,Harley Davidson Fat Boy 114,1868cc,Class 2,28/11/2020,27/11/2030 (7yrs 10mths 26days COE left),5979km,-,Cruiser
380,Adiva AD3 400,SGD$5800,Paid Ad,Adiva,Adiva AD3 400,399cc,Class 2A,06/10/2016,05/10/2026 (3yrs 9mths 4days COE left),70942km,2,Three Wheeler
381,Honda CBF150,SGD$6000,Free Ad,Honda,Honda CBF150,149cc,Class 2B,21/12/2012,31/10/2027 (4yrs 9mths 30days COE left),89250km,2,Street Bikes
382,Kawasaki ZX14R Ninja (Ohlins),SGD$18500,Free Ad,Kawasaki,Kawasaki ZX14R Ninja (Ohlins),1441cc,Class 2,01/04/2015,31/03/2025 (2yrs 2mths 30days COE left),64203km,2,Sport Bikes
383,Yamaha Aerox 155,SGD$11000,Free Ad,Yamaha,Yamaha Aerox 155,155cc,Class 2B,04/09/2019,03/09/2029 (6yrs 8mths 2days COE left),40000km,1,Scooters
384,Honda CB150R ExMotion,Carry On Installment,Free Ad,Honda,Honda CB150R ExMotion,149cc,Class 2B,10/05/2018,09/05/2028 (5yrs 4mths 8days COE left),100000km,2,Sport Bikes
385,Yamaha T135 Spark,SGD$5388,Free Ad,Yamaha,Yamaha T135 Spark,135cc,Class 2B,21/12/2011,31/08/2026 (3yrs 7mths 30days COE left),65111km,2,Cubs
386,Yamaha FZN150i,SGD$5999,Free Ad,Yamaha,Yamaha FZN150i,149cc,Class 2B,11/11/2016,10/11/2026 (3yrs 10mths 9days COE left),82420km,3,Street Bikes
387,SYM Excel II 150,SGD$2100,Free Ad,SYM,SYM Excel II 150,150cc,Class 2B,28/07/2009,27/07/2024 (1yrs 6mths 26days COE left),-,-,Scooters
388,Honda CB400 Super 4 Revo,SGD$17800,Free Ad,Honda,Honda CB400 Super 4 Revo,399cc,Class 2A,22/01/2018,21/01/2028 (5yrs 20days COE left),46500km,3,Street Bikes
389,Mutt Hilts Green 125,SGD$14500,Free Ad,Mutt,Mutt Hilts Green 125,125cc,Class 2B,11/06/2020,10/06/2030 (7yrs 5mths 9days COE left),2000km,2,Street Bikes
390,SYM Cruisym 300,SGD$17800,Free Ad,SYM,SYM Cruisym 300,278cc,Class 2A,07/09/2021,06/09/2031 (8yrs 8mths 5days COE left),12000km,1,Scooters
391,Honda CB400 Super 4 Revo,SGD$16900,Free Ad,Honda,Honda CB400 Super 4 Revo,399cc,Class 2A,22/09/2017,21/09/2027 (4yrs 8mths 20days COE left),54000km,2,Street Bikes
392,BMW F800GS Adventure,SGD$12888,Free Ad,BMW,BMW F800GS Adventure,798cc,Class 2,28/04/2015,27/04/2025 (2yrs 3mths 26days COE left),118000km,1,Sport Tourers
393,Vespa GTS 150,SGD$17500,Free Ad,Vespa,Vespa GTS 150,155cc,Class 2B,14/02/2019,13/02/2029 (6yrs 1mths 12days COE left),9000km,1,Scooters
394,Bajaj Dominar 400,SGD$7500,Free Ad,Bajaj,Bajaj Dominar 400,373cc,Class 2A,08/09/2017,07/09/2027 (4yrs 8mths 6days COE left),68700km,1,Street Bikes
395,Yamaha MT-15,SGD$14000,Free Ad,Yamaha,Yamaha MT-15,155cc,Class 2B,20/12/2019,19/12/2029 (6yrs 11mths 18days COE left),14700km,1,Street Bikes
396,Honda CB400 Super 4 Spec 3,SGD$12500,Free Ad,Honda,Honda CB400 Super 4 Spec 3,399cc,Class 2A,05/03/2007,28/02/2027 (4yrs 1mths 27days COE left),-,6,Street Bikes
397,Lambretta V200 Special,SGD$13500,Free Ad,Lambretta,Lambretta V200 Special,169cc,Class 2B,05/12/2019,04/12/2029 (6yrs 11mths 3days COE left),48322km,1,Scooters
398,Kawasaki ZG1400GTR Concours ABS,SGD$15000,Free Ad,Kawasaki,Kawasaki ZG1400GTR Concours ABS,1352cc,Class 2,26/07/2014,25/07/2024 (1yrs 6mths 24days COE left),113650km,1,Sport Tourers
399,Kawasaki Z1000SX,SGD$10000,Free Ad,Kawasaki,Kawasaki Z1000SX,1043cc,Class 2,17/01/2015,16/01/2025 (2yrs 15days COE left),55000km,1,Sport Bikes
400,Yamaha Xmax 300,SGD$16888,Free Ad,Yamaha,Yamaha Xmax 300,292cc,Class 2A,20/06/2019,19/06/2029 (6yrs 5mths 18days COE left),36000km,1,Scooters
401,Yamaha MT-07,SGD$19888,Free Ad,Yamaha,Yamaha MT-07,689cc,Class 2,21/09/2018,20/09/2028 (5yrs 8mths 19days COE left),22000km,2,Street Bikes
402,Suzuki V-Strom 1000,SGD$8800,Free Ad,Suzuki,Suzuki V-Strom 1000,996cc,Class 2,25/07/2008,24/07/2028 (5yrs 6mths 23days COE left),80000km,4,Sport Tourers
403,Ducati Monster 821,SGD$35000,Free Ad,Ducati,Ducati Monster 821,821cc,Class 2,30/11/2020,29/11/2030 (7yrs 10mths 28days COE left),13000km,1,Street Bikes
404,BMW K1200R,SGD$15000,Free Ad,BMW,BMW K1200R,1157cc,Class 2,28/12/2005,28/02/2025 (2yrs 1mths 27days COE left),80000km,8,Street Bikes
405,BMW R1200RS,SGD$30000,Free Ad,BMW,BMW R1200RS,1170cc,Class 2,22/08/2016,21/08/2026 (3yrs 7mths 20days COE left),26298km,1,Sport Tourers
406,KTM RC200,SGD$9800,Free Ad,KTM,KTM RC200,200cc,Class 2B,05/08/2016,04/08/2026 (3yrs 7mths 3days COE left),56000km,1,Sport Bikes
407,Lambretta V200 Special,SGD$11500,Free Ad,Lambretta,Lambretta V200 Special,169cc,Class 2B,10/10/2018,09/10/2028 (5yrs 9mths 8days COE left),7500km,2,Scooters
408,Triumph Daytona 675,SGD$12000,Free Ad,Triumph,Triumph Daytona 675,675cc,Class 2,04/01/2014,03/01/2024 (1yrs 2days COE left),93016km,1,Sport Bikes
409,Ducati GT1000,SGD$24800,Free Ad,Ducati,Ducati GT1000,992cc,Class 2,26/09/2006,25/09/2026 (3yrs 8mths 24days COE left),4000km,2,Street Bikes
410,Yamaha Xmax 300,SGD$14888,Free Ad,Yamaha,Yamaha Xmax 300,292cc,Class 2A,10/03/2018,09/03/2028 (5yrs 2mths 8days COE left),75396km,1,Scooters
411,Honda CBR1000RR,SGD$19800,Free Ad,Honda,Honda CBR1000RR,999cc,Class 2,06/07/2012,05/07/2032 (9yrs 6mths 4days COE left),106000km,-,Sport Bikes
412,Honda PCX150,SGD$1800,Free Ad,Honda,Honda PCX150,153cc,Class 2B,18/07/2013,17/07/2023 (6mths 16days COE left),199575km,5,Scooters
413,Yamaha XSR900,SGD$19888,Free Ad,Yamaha,Yamaha XSR900,847cc,Class 2,20/03/2018,19/03/2028 (5yrs 2mths 18days COE left),31000km,3,Street Bikes
414,Ducati Diavel,SGD$18786,Free Ad,Ducati,Ducati Diavel,1198cc,Class 2,10/01/2014,09/01/2024 (1yrs 8days COE left),13159km,2,Street Bikes
415,Yamaha MT-09,SGD$9500,Free Ad,Yamaha,Yamaha MT-09,847cc,Class 2,25/01/2014,24/01/2024 (1yrs 23days COE left),48000km,2,Street Bikes
416,Harley Davidson FLSTN Softail Deluxe,SGD$26900,Free Ad,Harley Davidson,Harley Davidson FLSTN Softail Deluxe,1340cc,Class 2,24/08/1995,31/01/2025 (2yrs 30days COE left),70000km,3,Cruiser
417,Kymco K-XCT200I,SGD$4500,Free Ad,Kymco,Kymco K-XCT200I,199cc,Class 2B,01/08/2014,31/07/2024 (1yrs 6mths 30days COE left),54300km,-,Scooters
418,Kawasaki ZX10R Ninja,SGD$52800,Free Ad,Kawasaki,Kawasaki ZX10R Ninja,998cc,Class 2,23/09/2020,22/09/2030 (7yrs 8mths 21days COE left),1200km,1,Sport Bikes
419,Suzuki DRZ400SM,SGD$7500,Free Ad,Suzuki,Suzuki DRZ400SM,398cc,Class 2A,17/08/2006,16/08/2026 (3yrs 7mths 15days COE left),-,7,Super Motards
420,Yamaha FZ16 ST,SGD$3500,Free Ad,Yamaha,Yamaha FZ16 ST,153cc,Class 2B,20/09/2013,19/09/2023 (8mths 18days COE left),10000km,2,Street Bikes
421,Kymco K-XCT200I,SGD$4500,Free Ad,Kymco,Kymco K-XCT200I,199cc,Class 2B,30/07/2014,29/07/2024 (1yrs 6mths 28days COE left),96703km,2,Scooters
422,Honda CB400 Super 4 Spec 1,SGD$5700,Free Ad,Honda,Honda CB400 Super 4 Spec 1,399cc,Class 2A,26/08/2000,25/08/2025 (2yrs 7mths 24days COE left),211200km,2,Street Bikes
423,SYM GTS 200,SGD$2100,Free Ad,SYM,SYM GTS 200,172cc,Class 2B,27/05/2013,26/05/2023 (4mths 25days COE left),70000km,2,Scooters
424,KTM 790 Duke,SGD$30000,Free Ad,KTM,KTM 790 Duke,799cc,Class 2,20/08/2019,19/08/2029 (6yrs 7mths 18days COE left),63000km,-,Street Bikes
425,Vespa GTS Super 300 Sport,SGD$18500,Free Ad,Vespa,Vespa GTS Super 300 Sport,278cc,Class 2A,16/02/2021,15/02/2031 (8yrs 1mths 14days COE left),2020km,1,Scooters
426,Yamaha YZF-R1,SGD$13888,Free Ad,Yamaha,Yamaha YZF-R1,998cc,Class 2,07/08/2008,06/08/2028 (5yrs 7mths 5days COE left),102700km,2,Sport Bikes
427,Qooder Quadro,SGD$30000,Free Ad,Qooder,Qooder Quadro,398cc,Class 2A,20/01/2022,19/01/2032 (9yrs 18days COE left),780km,1,Three Wheeler
428,Yamaha Jupiter MX135,SGD$1100,Free Ad,Yamaha,Yamaha Jupiter MX135,134cc,Class 2B,03/04/2013,02/04/2023 (3mths 1days COE left),7012km,2,Cubs
429,Suzuki GSR750,SGD$13000,Free Ad,Suzuki,Suzuki GSR750,749cc,Class 2,04/07/2011,31/03/2030 (7yrs 2mths 30days COE left),90000km,3,Street Bikes
430,Yamaha Aerox 155,SGD$13500,Free Ad,Yamaha,Yamaha Aerox 155,155cc,Class 2B,12/08/2020,11/08/2030 (7yrs 7mths 10days COE left),23000km,1,Scooters
431,Harley Davidson Fat Boy 114,SGD$58100,Free Ad,Harley Davidson,Harley Davidson Fat Boy 114,1868cc,Class 2,31/08/2021,30/08/2031 (8yrs 7mths 29days COE left),16000km,2,Cruiser
432,Honda CBR150R,SGD$7200,Free Ad,Honda,Honda CBR150R,150cc,Class 2B,29/07/2014,28/07/2024 (1yrs 6mths 27days COE left),37000km,1,Sport Bikes
433,Yamaha XT1200Z Super Tenere,SGD$12500,Free Ad,Yamaha,Yamaha XT1200Z Super Tenere,1199cc,Class 2,30/09/2013,29/09/2023 (8mths 28days COE left),18100km,1,Sport Tourers
434,BMW G310GS,SGD$12800,Free Ad,BMW,BMW G310GS,313cc,Class 2A,04/05/2018,03/05/2028 (5yrs 4mths 2days COE left),46000km,3,Street Bikes
435,Yamaha XSR155,SGD$15500,Free Ad,Yamaha,Yamaha XSR155,155cc,Class 2B,06/09/2021,05/09/2031 (8yrs 8mths 4days COE left),800km,1,Street Bikes
436,SYM Maxsym 400i,SGD$2888,Free Ad,SYM,SYM Maxsym 400i,400cc,Class 2A,07/11/2013,06/11/2023 (10mths 5days COE left),90000km,4,Scooters
437,Honda Forza 350,SGD$21000,Free Ad,Honda,Honda Forza 350,329cc,Class 2A,05/10/2021,04/10/2031 (8yrs 9mths 3days COE left),32291km,1,Scooters
438,Honda Steed 400,SGD$10388,Free Ad,Honda,Honda Steed 400,398cc,Class 2A,15/05/1998,29/02/2028 (5yrs 1mths 28days COE left),93000km,5,Cruiser
439,Yamaha YZF-R15,SGD$12500,Free Ad,Yamaha,Yamaha YZF-R15,155cc,Class 2B,08/01/2019,07/01/2029 (6yrs 6days COE left),52000km,2,Sport Bikes
440,Honda MSX125,SGD$12000,Free Ad,Honda,Honda MSX125,125cc,Class 2B,04/03/2019,03/03/2029 (6yrs 2mths 2days COE left),10000km,1,Super Motards
441,Honda CBR150R,SGD$11400,Free Ad,Honda,Honda CBR150R,149cc,Class 2B,10/09/2019,09/09/2029 (6yrs 8mths 8days COE left),53000km,1,Sport Bikes
442,Kawasaki Z1000 ABS,SGD$12888,Free Ad,Kawasaki,Kawasaki Z1000 ABS,1043cc,Class 2,29/04/2014,28/04/2024 (1yrs 3mths 27days COE left),38000km,5,Street Bikes
443,Vespa LX150 I.E.,SGD$5500,Free Ad,Vespa,Vespa LX150 I.E.,155cc,Class 2B,31/07/2014,30/07/2024 (1yrs 6mths 29days COE left),65791km,5,Scooters
444,SYM Maxsym 400i,SGD$11500,Free Ad,SYM,SYM Maxsym 400i,399cc,Class 2A,02/12/2017,01/12/2027 (4yrs 11mths COE left),31000km,1,Scooters
445,Yamaha YZF-R15,SGD$11500,Free Ad,Yamaha,Yamaha YZF-R15,155cc,Class 2B,04/10/2019,03/10/2029 (6yrs 9mths 2days COE left),86000km,2,Sport Bikes
446,Triumph Street Triple 675,SGD$7000,Free Ad,Triumph,Triumph Street Triple 675,675cc,Class 2,11/11/2013,10/11/2023 (10mths 9days COE left),39343km,2,Street Bikes
447,Honda CBR400R,SGD$7500,Free Ad,Honda,Honda CBR400R,399cc,Class 2A,02/04/2014,01/04/2024 (1yrs 3mths COE left),75867km,3,Sport Bikes
448,Yamaha MT-09 Tracer GT,SGD$27300,Free Ad,Yamaha,Yamaha MT-09 Tracer GT,847cc,Class 2,12/03/2019,11/03/2029 (6yrs 2mths 10days COE left),15233km,1,Sport Tourers
449,Harley Davidson VRSCF V-Rod Muscle,SGD$26888,Free Ad,Harley Davidson,Harley Davidson VRSCF V-Rod Muscle,1247cc,Class 2,11/12/2009,10/12/2029 (6yrs 11mths 9days COE left),55000km,2,Cruiser
