,motor_name,motor_price,Brand,model,engine_cap_x,classification,type_of_vehicle,Model,Year,Category,engine_cap_y,Power (hp),Engine cylinder,Engine stroke,Gearbox,Fuel capacity (lts),Transmission type,Front brakes,Rear brakes,Front suspension,Rear suspension
21,Honda VFR800X CrossRunner,23600,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2017,Sport touring,782.0,107.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
22,Honda VFR800X CrossRunner,23600,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2018,Sport touring,782.0,107.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
23,Honda VFR800X CrossRunner,23600,honda,Honda VFR800X CrossRunner,782,Class 2,Sport Tourers,vfr800x crossrunner,2019,Sport touring,782.0,104.0,V4, four-stroke,6-speed,20.8,Chain,Double disc. ABS. Floating discs. Hydraulic. Four-piston calipers. ,Single disc. ABS. Hydraulic. Two-piston calipers. ,"43mm HMAS cartridge-type telescopic fork with stepless preload and ten DF adjustment, 108mm axle travel","Pro-Link with gas-charged HMAS damper, 7-step (stepless remote-controlled hydraulic) preload and stepless rebound damping adjustment, 120mm axle travel"
24,Yamaha XSR900,28888,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2016,Classic,847.0,115.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. Hydraulic. ,Single disc. Hydraulic. ,Telescopic forks,Link type suspension
25,Yamaha XSR900,28888,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2017,Classic,847.0,115.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. Hydraulic. ,Single disc. Hydraulic. ,Telescopic forks,Link type suspension
26,Yamaha XSR900,28888,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2018,Classic,847.0,115.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,"41mm inverted fork, adjustable preload and rebound damping","Single shock, adjustable preload and rebound damping"
27,Yamaha XSR900,28888,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2019,Classic,847.0,113.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,Telescopic forks,"Single shock, adjustable preload and rebound damping"
28,Yamaha XSR900,28888,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2020,Classic,847.0,113.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,Telescopic forks,"Single shock, adjustable preload and rebound damping"
29,Yamaha XSR900,28888,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2021,Classic,847.0,113.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,"41mm inverted fork, adjustable preload and rebound damping","Single shock, adjustable preload and rebound damping"
30,Yamaha XSR900,28888,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2022,Classic,847.0,119.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,Telescopic fork,Swingarm
31,Yamaha XSR900,21800,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2016,Classic,847.0,115.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. Hydraulic. ,Single disc. Hydraulic. ,Telescopic forks,Link type suspension
32,Yamaha XSR900,21800,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2017,Classic,847.0,115.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. Hydraulic. ,Single disc. Hydraulic. ,Telescopic forks,Link type suspension
33,Yamaha XSR900,21800,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2018,Classic,847.0,115.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,"41mm inverted fork, adjustable preload and rebound damping","Single shock, adjustable preload and rebound damping"
34,Yamaha XSR900,21800,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2019,Classic,847.0,113.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,Telescopic forks,"Single shock, adjustable preload and rebound damping"
35,Yamaha XSR900,21800,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2020,Classic,847.0,113.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,Telescopic forks,"Single shock, adjustable preload and rebound damping"
36,Yamaha XSR900,21800,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2021,Classic,847.0,113.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,"41mm inverted fork, adjustable preload and rebound damping","Single shock, adjustable preload and rebound damping"
37,Yamaha XSR900,21800,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2022,Classic,847.0,119.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,Telescopic fork,Swingarm
38,Yamaha XSR900,16800,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2016,Classic,847.0,115.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. Hydraulic. ,Single disc. Hydraulic. ,Telescopic forks,Link type suspension
39,Yamaha XSR900,16800,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2017,Classic,847.0,115.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. Hydraulic. ,Single disc. Hydraulic. ,Telescopic forks,Link type suspension
40,Yamaha XSR900,16800,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2018,Classic,847.0,115.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,"41mm inverted fork, adjustable preload and rebound damping","Single shock, adjustable preload and rebound damping"
41,Yamaha XSR900,16800,yamaha,Yamaha XSR900,847,Class 2,Street Bikes,xsr900,2019,Classic,847.0,113.0,In-line three, four-stroke,6-speed,14.0,Chain,Double disc. ABS. Hydraulic. ,Single disc. ABS. Hydraulic. ,Telescopic forks,"Single shock, adjustable preload and rebound damping"
