,motor_name,motor_price,Brand,model,engine_cap,classification,type_of_vehicle
103,Vespa SXL150,16000,vespa,Vespa SXL150,149,Class 2B,Scooters
104,ZongShen ZS200 Zone One S,6910,zongshen,ZongShen ZS200 Zone One S,199,Class 2B,Street Bikes
105,Kawasaki Versys-X 300,20000,kawasaki,Kawasaki Versys-X 300,296,Class 2A,Sport Tourers
106,Honda CB400X,4500,honda,Honda CB400X,399,Class 2A,Sport Tourers
107,BMW R NineT Scrambler,48800,bmw,BMW R NineT Scrambler,1170,Class 2,Street Bikes
108,Yamaha FZS150,10200,yamaha,Yamaha FZS150,149,Class 2B,Street Bikes
109,Honda CB190R,6900,honda,Honda CB190R,184,Class 2B,Street Bikes
110,Yamaha FZ150I,8500,yamaha,Yamaha FZ150I,150,Class 2B,Street Bikes
111,Yamaha Nmax 155,15309,yamaha,Yamaha Nmax 155,155,Class 2B,Scooters
112,Yamaha TW200,7500,yamaha,Yamaha TW200,196,Class 2B,Scrambler/Dirt Bike
113,Honda CBR150R,7950,honda,Honda CBR150R,150,Class 2B,Sport Bikes
114,Honda Wave 125,5800,honda,Honda Wave 125,125,Class 2B,Cubs
115,Honda CB400X,6800,honda,Honda CB400X,399,Class 2A,Sport Tourers
116,Honda CBF190X Fighthawk,7500,honda,Honda CBF190X Fighthawk,184,Class 2B,Sport Tourers
117,Honda Forza 300,18500,honda,Honda Forza 300,279,Class 2A,Scooters
118,Honda PCX150,9300,honda,Honda PCX150,153,Class 2B,Scooters
119,Yamaha FZ16,7500,yamaha,Yamaha FZ16,153,Class 2B,Street Bikes
120,Yamaha YZF-R6,14800,yamaha,Yamaha YZF-R6,599,Class 2,Sport Bikes
121,Honda CB150R ExMotion,10800,honda,Honda CB150R ExMotion,149,Class 2B,Street Bikes
122,Honda Forza 300,14999,honda,Honda Forza 300,279,Class 2A,Scooters
123,MV Agusta Turismo Veloce Lusso 800,38888,mv agusta,MV Agusta Turismo Veloce Lusso 800,798,Class 2,Sport Tourers
124,Yamaha MT-10 SP,32800,yamaha,Yamaha MT-10 SP,998,Class 2,Street Bikes
125,Honda Adv 150,12288,honda,Honda Adv 150,149,Class 2B,Scooters
126,Mutt GT-SS 250,16288,mutt,Mutt GT-SS 250,250,Class 2A,Street Bikes
127,Yamaha WR155R,13800,yamaha,Yamaha WR155R,155,Class 2B,Scrambler/Dirt Bike
128,Honda CB400 Super 4 Project Big,5800,honda,Honda CB400 Super 4 Project Big,399,Class 2A,Street Bikes
129,Yamaha FZ16 ST,4000,yamaha,Yamaha FZ16 ST,153,Class 2B,Street Bikes
130,Harley Davidson Fat Bob 114,49900,harley davidson,Harley Davidson Fat Bob 114,1868,Class 2,Cruiser
131,Kawasaki Z750,11200,kawasaki,Kawasaki Z750,748,Class 2,Street Bikes
132,Honda CB350 Hness,17500,honda,Honda CB350 Hness,348,Class 2A,Street Bikes
133,MV Agusta Dragster 800,22999,mv agusta,MV Agusta Dragster 800,798,Class 2,Street Bikes
134,Honda CB400 Super 4 Revo,18500,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
135,Yamaha FZN150i,5800,yamaha,Yamaha FZN150i,149,Class 2B,Street Bikes
136,Lambretta V200 Special,10800,lambretta,Lambretta V200 Special,169,Class 2B,Scooters
137,Yamaha Aerox 155,13000,yamaha,Yamaha Aerox 155,155,Class 2B,Scooters
138,Yamaha Sniper 155,14500,yamaha,Yamaha Sniper 155,155,Class 2B,Cubs
139,Honda NC700XA,17777,honda,Honda NC700XA,670,Class 2,Sport Tourers
140,Yamaha FZ8-N,8800,yamaha,Yamaha FZ8-N,779,Class 2,Street Bikes
141,KTM 350 EXC-F,8000,ktm,KTM 350 EXC-F,347,Class 2A,Scrambler/Dirt Bike
142,Kawasaki Z650,19800,kawasaki,Kawasaki Z650,649,Class 2,Street Bikes
143,Honda GL1800A Goldwing,32000,honda,Honda GL1800A Goldwing,1832,Class 2,Sport Tourers
144,MV Agusta F3 800,17000,mv agusta,MV Agusta F3 800,798,Class 2,Sport Bikes
145,Honda CB400X,5999,honda,Honda CB400X,399,Class 2A,Sport Tourers
146,Honda RS150R,7500,honda,Honda RS150R,149,Class 2B,Cubs
147,BMW R1200GS Adventure,32800,bmw,BMW R1200GS Adventure,1170,Class 2,Sport Tourers
148,Yamaha XSR155,18500,yamaha,Yamaha XSR155,155,Class 2B,Street Bikes
149,Yamaha Nmax 155,11888,yamaha,Yamaha Nmax 155,155,Class 2B,Scooters
150,Honda CB190R Repsol,10300,honda,Honda CB190R Repsol,184,Class 2B,Street Bikes
151,Peugeot Tweet 150,12999,peugeot,Peugeot Tweet 150,151,Class 2B,Scooters
152,BMW R1200GS Adventure,16900,bmw,BMW R1200GS Adventure,1170,Class 2,Sport Tourers
153,Peugeot Tweet 150,14500,peugeot,Peugeot Tweet 150,151,Class 2B,Scooters
154,Yamaha MT-15 Xabre,8800,yamaha,Yamaha MT-15 Xabre,150,Class 2B,Street Bikes
155,Yamaha Aerox 155,12500,yamaha,Yamaha Aerox 155,155,Class 2B,Scooters
156,Yamaha Aerox 155,10800,yamaha,Yamaha Aerox 155,155,Class 2B,Scooters
157,Honda CB400 Super 4 Spec 3,6800,honda,Honda CB400 Super 4 Spec 3,399,Class 2A,Street Bikes
158,Honda CB190X Tourism,9500,honda,Honda CB190X Tourism,184,Class 2B,Sport Tourers
159,Honda VFR1200X Crosstourer,14800,honda,Honda VFR1200X Crosstourer,1237,Class 2,Sport Tourers
160,Kawasaki ZG1400GTR Concours,28888,kawasaki,Kawasaki ZG1400GTR Concours,1352,Class 2,Sport Tourers
161,Kawasaki Versys 1000,17000,kawasaki,Kawasaki Versys 1000,1043,Class 2,Sport Tourers
162,Honda Adv 150,15700,honda,Honda Adv 150,149,Class 2B,Scooters
163,KTM 200 Duke,14700,ktm,KTM 200 Duke,200,Class 2B,Street Bikes
164,Honda Forza 300,18500,honda,Honda Forza 300,279,Class 2A,Scooters
165,Honda CB400X,7888,honda,Honda CB400X,399,Class 2A,Sport Tourers
166,Royal Enfield Interceptor,20588,royal enfield,Royal Enfield Interceptor,648,Class 2,Street Bikes
167,Honda Adv 150,14288,honda,Honda Adv 150,149,Class 2B,Scooters
168,Honda CBR1000RR,42888,honda,Honda CBR1000RR,1000,Class 2,Sport Bikes
169,Yamaha FZ16 ST,1500,yamaha,Yamaha FZ16 ST,153,Class 2B,Street Bikes
170,Yamaha Jupiter MX135,1200,yamaha,Yamaha Jupiter MX135,134,Class 2B,Cubs
171,Royal Alloy TG300,16888,royal alloy,Royal Alloy TG300,278,Class 2A,Scooters
172,Honda CB400 Super 4 Revo,12500,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
173,Yamaha XSR900,16800,yamaha,Yamaha XSR900,847,Class 2,Street Bikes
174,BMW R1200R,26800,bmw,BMW R1200R,1170,Class 2,Street Bikes
175,BMW R1200GS,53800,bmw,BMW R1200GS,1170,Class 2,Sport Tourers
176,Yamaha Nmax 155,13800,yamaha,Yamaha Nmax 155,155,Class 2B,Scooters
177,Honda CB190X Tourism,9800,honda,Honda CB190X Tourism,184,Class 2B,Sport Tourers
178,Yamaha YZF-R15,15800,yamaha,Yamaha YZF-R15,155,Class 2B,Sport Bikes
179,Yamaha Xmax 300,20500,yamaha,Yamaha Xmax 300,292,Class 2A,Scooters
180,Honda CB400X,13500,honda,Honda CB400X,399,Class 2A,Sport Tourers
181,Harley Davidson Roadster,29500,harley davidson,Harley Davidson Roadster,1202,Class 2,Cruiser
182,BMW S1000R,35500,bmw,BMW S1000R,999,Class 2,Street Bikes
183,Yamaha YZF-R15,5999,yamaha,Yamaha YZF-R15,150,Class 2B,Sport Bikes
184,Harley Davidson Street Bob,34888,harley davidson,Harley Davidson Street Bob,1745,Class 2,Cruiser
185,Yamaha YZF-R1,6500,yamaha,Yamaha YZF-R1,998,Class 2,Sport Bikes
186,Honda CB400X,13500,honda,Honda CB400X,399,Class 2A,Sport Tourers
