,motor_name,motor_price,Brand,model,engine_cap,classification,type_of_vehicle
575,Zontes X310,14000,zontes,Zontes X310,312,Class 2A,Sport Bikes
576,KTM 390 Duke,8500,ktm,KTM 390 Duke,373,Class 2A,Street Bikes
577,Yamaha YZF-R15,9998,yamaha,Yamaha YZF-R15,155,Class 2B,Sport Bikes
578,Honda Winner X 150,13800,honda,Honda Winner X 150,149,Class 2B,Cubs
579,Yamaha YZF-R15,Carry On Installment,yamaha,Yamaha YZF-R15,155,Class 2B,Sport Bikes
580,Yamaha MT-09 Tracer,16000,yamaha,Yamaha MT-09 Tracer,847,Class 2,Sport Tourers
581,Yamaha RXZ,11000,yamaha,Yamaha RXZ,133,Class 2B,Street Bikes
582,Honda NC700X,8800,honda,Honda NC700X,670,Class 2,Sport Tourers
583,Yamaha YZF-R15,15000,yamaha,Yamaha YZF-R15,155,Class 2B,Sport Bikes
584,BMW G310GS,13200,bmw,BMW G310GS,313,Class 2A,Sport Tourers
585,Yamaha Tmax 530,9995,yamaha,Yamaha Tmax 530,530,Class 2,Scooters
586,BMW G310GS,16000,bmw,BMW G310GS,313,Class 2A,Sport Tourers
587,Yamaha MT-15,12700,yamaha,Yamaha MT-15,155,Class 2B,Street Bikes
588,Kawasaki EX300 Ninja,950,kawasaki,Kawasaki EX300 Ninja,296,Class 2A,Sport Bikes
589,Yamaha YBR125,1500,yamaha,Yamaha YBR125,124,Class 2B,Street Bikes
590,Harley Davidson Fat Boy,52000,harley davidson,Harley Davidson Fat Boy,1745,Class 2,Cruiser
591,Can-Am Spyder RS-S SE5,26000,can-am,Can-Am Spyder RS-S SE5,998,Class 2,Three Wheeler
592,BMW C400X,21500,bmw,BMW C400X,350,Class 2A,Scooters
593,Harley Davidson Fat Boy,26888,harley davidson,Harley Davidson Fat Boy,1450,Class 2,Cruiser
594,Suzuki Burgman 650 Executive Abs,14500,suzuki,Suzuki Burgman 650 Executive Abs,638,Class 2,Scooters
595,Yamaha FZ8-N,4000,yamaha,Yamaha FZ8-N,779,Class 2,Street Bikes
596,Yamaha Sniper 150,9500,yamaha,Yamaha Sniper 150,150,Class 2B,Cubs
597,Triumph Speed Triple,12000,triumph,Triumph Speed Triple,1050,Class 2,Street Bikes
598,Honda CBR150R,11500,honda,Honda CBR150R,149,Class 2B,Sport Bikes
599,Harley Davidson XL883N Iron 883,25000,harley davidson,Harley Davidson XL883N Iron 883,883,Class 2,Cruiser
600,Honda NT700V Deauville,6000,honda,Honda NT700V Deauville,680,Class 2,Sport Tourers
601,SYM DRGBT 160,15000,sym,SYM DRGBT 160,158,Class 2B,Scooters
602,SYM VS150,6546,sym,SYM VS150,150,Class 2B,Scooters
603,Honda Supra GTR150,9500,honda,Honda Supra GTR150,149,Class 2B,Cubs
604,BMW F800GS,16180,bmw,BMW F800GS,798,Class 2,Sport Tourers
605,Honda CB400 Super 4 Revo,16500,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
606,Honda Winner X 150,13800,honda,Honda Winner X 150,149,Class 2B,Cubs
607,Kawasaki EX300 Ninja,4700,kawasaki,Kawasaki EX300 Ninja,296,Class 2A,Sport Bikes
608,Honda CB400 Super 4 Spec 3,7500,honda,Honda CB400 Super 4 Spec 3,399,Class 2A,Street Bikes
609,Honda CBR250R,6800,honda,Honda CBR250R,250,Class 2A,Sport Bikes
610,Honda ST1300A Pan-European,5888,honda,Honda ST1300A Pan-European,1261,Class 2,Sport Tourers
611,Yamaha MW125 Tricity,5500,yamaha,Yamaha MW125 Tricity,125,Class 2B,Three Wheeler
612,Yamaha MT-15,11000,yamaha,Yamaha MT-15,155,Class 2B,Street Bikes
613,Yamaha YZF-R15,6800,yamaha,Yamaha YZF-R15,150,Class 2B,Sport Bikes
614,Honda CBR150R,9300,honda,Honda CBR150R,149,Class 2B,Sport Bikes
615,Yamaha FZ16 ST,5000,yamaha,Yamaha FZ16 ST,153,Class 2B,Street Bikes
616,Honda CB400X,10000,honda,Honda CB400X,399,Class 2A,Sport Tourers
617,Harley Davidson XL883N Iron 883,10500,harley davidson,Harley Davidson XL883N Iron 883,883,Class 2,Cruiser
618,Yamaha MT-09 Tracer,18499,yamaha,Yamaha MT-09 Tracer,847,Class 2,Sport Tourers
619,Yamaha MT-15 Xabre,7900,yamaha,Yamaha MT-15 Xabre,150,Class 2B,Street Bikes
620,MV Agusta Brutale 1090RR,13888,mv agusta,MV Agusta Brutale 1090RR,1078,Class 2,Street Bikes
621,Yamaha YZF-R15,3288,yamaha,Yamaha YZF-R15,150,Class 2B,Sport Bikes
622,Kawasaki ZX14R Ninja,14000,kawasaki,Kawasaki ZX14R Ninja,1352,Class 2,Sport Bikes
623,Bajaj Pulsar NS200,10000,bajaj,Bajaj Pulsar NS200,200,Class 2B,Street Bikes
624,Honda CB125R,9000,honda,Honda CB125R,125,Class 2B,Street Bikes
625,Bajaj Avenger 200 DTS-i,8900,bajaj,Bajaj Avenger 200 DTS-i,199,Class 2B,Cruiser
626,Yamaha YZF-R1,12000,yamaha,Yamaha YZF-R1,998,Class 2,Sport Bikes
627,KTM 200 Duke,7500,ktm,KTM 200 Duke,200,Class 2B,Street Bikes
628,KTM 525 EXC Racing,6500,ktm,KTM 525 EXC Racing,511,Class 2,Super Motards
629,Honda Adv 150,14500,honda,Honda Adv 150,149,Class 2B,Scooters
630,Honda CB400X,15500,honda,Honda CB400X,399,Class 2A,Sport Tourers
631,BMW R1200GS,15999,bmw,BMW R1200GS,1170,Class 2,Sport Tourers
632,Harley Davidson Fat Bob 114,38000,harley davidson,Harley Davidson Fat Bob 114,1868,Class 2,Cruiser
633,Yamaha Aerox 155 R,14888,yamaha,Yamaha Aerox 155 R,155,Class 2B,Scooters
634,Triumph Tiger Explorer,13000,triumph,Triumph Tiger Explorer,1215,Class 2,Sport Tourers
635,Honda NC700X,2800,honda,Honda NC700X,670,Class 2,Sport Tourers
636,Ducati Hyperstrada 821,13888,ducati,Ducati Hyperstrada 821,821,Class 2,Super Motards
637,Honda CB190R,6800,honda,Honda CB190R,184,Class 2B,Street Bikes
638,Ducati Monster 1200R,36800,ducati,Ducati Monster 1200R,1198,Class 2,Street Bikes
639,Yamaha X1-R 135,4200,yamaha,Yamaha X1-R 135,135,Class 2B,Cubs
640,Yamaha FZN150i,6500,yamaha,Yamaha FZN150i,149,Class 2B,Street Bikes
641,Yamaha MT-09,11188,yamaha,Yamaha MT-09,847,Class 2,Street Bikes
642,Yamaha YZF-R1,23888,yamaha,Yamaha YZF-R1,998,Class 2,Sport Bikes
643,Bajaj Pulsar NS200,12000,bajaj,Bajaj Pulsar NS200,200,Class 2B,Street Bikes
644,Yamaha Xmax 400,22300,yamaha,Yamaha Xmax 400,395,Class 2A,Scooters
645,BMW K1600GTL,24000,bmw,BMW K1600GTL,1649,Class 2,Sport Tourers
646,Honda CBF150,900,honda,Honda CBF150,149,Class 2B,Street Bikes
647,Yamaha Sniper 150,10000,yamaha,Yamaha Sniper 150,150,Class 2B,Cubs
648,Adiva AD1 200,19000,adiva,Adiva AD1 200,188,Class 2B,Three Wheeler
649,Honda CBF190TR Scrambler,11500,honda,Honda CBF190TR Scrambler,184,Class 2B,Street Bikes
650,Ducati 1199 Panigale,29999,ducati,Ducati 1199 Panigale,1198,Class 2,Sport Bikes
651,Yamaha YZF-R15,10788,yamaha,Yamaha YZF-R15,155,Class 2B,Sport Bikes
652,Honda CB150R ExMotion,12000,honda,Honda CB150R ExMotion,149,Class 2B,Street Bikes
653,Yamaha YZF-R3,9388,yamaha,Yamaha YZF-R3,321,Class 2A,Sport Bikes
654,Ducati Monster 821,33000,ducati,Ducati Monster 821,821,Class 2,Street Bikes
655,Honda X-Adv 750,35000,honda,Honda X-Adv 750,745,Class 2,Scooters
656,Yamaha Aerox 155,10808,yamaha,Yamaha Aerox 155,155,Class 2B,Scooters
657,Yamaha MT-07,12000,yamaha,Yamaha MT-07,689,Class 2,Street Bikes
658,Honda CB150R ExMotion,10000,honda,Honda CB150R ExMotion,149,Class 2B,Street Bikes
659,Yamaha Aerox 155,10888,yamaha,Yamaha Aerox 155,155,Class 2B,Scooters
660,Yamaha YZF-R15 Ver 4,18000,yamaha,Yamaha YZF-R15 Ver 4,155,Class 2B,Sport Bikes
661,Yamaha YZF-R15,10000,yamaha,Yamaha YZF-R15,155,Class 2B,Sport Bikes
662,Honda CB150R Streetster,11888,honda,Honda CB150R Streetster,149,Class 2B,Street Bikes
663,Aprilia SR Max 300,4000,aprilia,Aprilia SR Max 300,278,Class 2A,Scooters
664,BMW K1300R,22000,bmw,BMW K1300R,1293,Class 2,Street Bikes
665,Kawasaki Z1000 ABS,12000,kawasaki,Kawasaki Z1000 ABS,1043,Class 2,Street Bikes
666,Piaggio MP3 400 I.E.,8997,piaggio,Piaggio MP3 400 I.E.,399,Class 2A,Three Wheeler
667,Aprilia Dorsoduro 750,3500,aprilia,Aprilia Dorsoduro 750,750,Class 2,Super Motards
668,Yamaha TDM900,4200,yamaha,Yamaha TDM900,897,Class 2,Sport Tourers
669,Honda MSX125,4500,honda,Honda MSX125,125,Class 2B,Super Motards
670,BMW R NineT,46000,bmw,BMW R NineT,1170,Class 2,Street Bikes
671,Suzuki Burgman 650 Executive Abs,28000,suzuki,Suzuki Burgman 650 Executive Abs,638,Class 2,Scooters
672,Ducati Superbike 899 Panigale,21500,ducati,Ducati Superbike 899 Panigale,898,Class 2,Sport Bikes
673,Yamaha FZ16,7188,yamaha,Yamaha FZ16,153,Class 2B,Street Bikes
674,Honda CBR400R,6000,honda,Honda CBR400R,399,Class 2A,Sport Bikes
675,Ducati Scrambler Cafe Racer,25000,ducati,Ducati Scrambler Cafe Racer,803,Class 2,Street Bikes
676,Lambretta V200 Special,11000,lambretta,Lambretta V200 Special,169,Class 2B,Scooters
677,Yamaha Tmax 530,17800,yamaha,Yamaha Tmax 530,530,Class 2,Cruiser
678,Harley Davidson Fat Bob 114,43000,harley davidson,Harley Davidson Fat Bob 114,1868,Class 2,Cruiser
679,Suzuki DRZ400SM,11500,suzuki,Suzuki DRZ400SM,398,Class 2A,Super Motards
680,BMW K1600GT,38000,bmw,BMW K1600GT,1649,Class 2,Sport Tourers
681,ZongShen ZS200 Zone One S,6000,zongshen,ZongShen ZS200 Zone One S,199,Class 2B,Street Bikes
682,Yamaha Aerox 155,12000,yamaha,Yamaha Aerox 155,155,Class 2B,Scooters
683,Triumph Trident 660,28500,triumph,Triumph Trident 660,660,Class 2,Street Bikes
684,Triumph Thruxton R,27500,triumph,Triumph Thruxton R,1197,Class 2,Street Bikes
685,Vespa LX150,11888,vespa,Vespa LX150,151,Class 2B,Scooters
686,Ducati Monster 696,8900,ducati,Ducati Monster 696,696,Class 2,Street Bikes
687,Honda CB400 Super 4 Spec 3,7500,honda,Honda CB400 Super 4 Spec 3,399,Class 2A,Street Bikes
688,Vespa GTS 150,15500,vespa,Vespa GTS 150,155,Class 2B,Scooters
689,Yamaha MT-15 Xabre,9500,yamaha,Yamaha MT-15 Xabre,150,Class 2B,Street Bikes
690,Yamaha MT-03,12000,yamaha,Yamaha MT-03,321,Class 2A,Street Bikes
691,Suzuki DRZ400SM,14900,suzuki,Suzuki DRZ400SM,398,Class 2,Super Motards
692,Ducati Streetfighter V4S,62000,ducati,Ducati Streetfighter V4S,1130,Class 2,Street Bikes
693,Honda CB400 Super 4 Spec 3,7500,honda,Honda CB400 Super 4 Spec 3,399,Class 2A,Street Bikes
694,BMW K1200LT,12000,bmw,BMW K1200LT,1171,Class 2,Sport Tourers
695,Vespa PX150,12000,vespa,Vespa PX150,151,Class 2B,Scooters
696,Honda FJS400D SilverWing,3888,honda,Honda FJS400D SilverWing,399,Class 2A,Scooters
697,Kawasaki Ninja 400,20000,kawasaki,Kawasaki Ninja 400,399,Class 2A,Sport Bikes
698,Honda FJS400D SilverWing,8900,honda,Honda FJS400D SilverWing,399,Class 2A,Scooters
699,Triumph Street Twin,17000,triumph,Triumph Street Twin,900,Class 2,Street Bikes
700,Yamaha MT-15 Xabre,8500,yamaha,Yamaha MT-15 Xabre,150,Class 2B,Street Bikes
701,Honda CB400 Super 4 Spec 3,5000,honda,Honda CB400 Super 4 Spec 3,399,Class 2A,Street Bikes
702,Yamaha Sniper 150,11000,yamaha,Yamaha Sniper 150,150,Class 2B,Cubs
703,Yamaha FZ16,2600,yamaha,Yamaha FZ16,153,Class 2B,Street Bikes
704,Honda CB400 Super 4 Revo,11000,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
705,Honda CB400X,8400,honda,Honda CB400X,399,Class 2A,Sport Tourers
706,Yamaha YZF-R3,3800,yamaha,Yamaha YZF-R3,321,Class 2A,Sport Bikes
707,Suzuki DRZ400SM,13800,suzuki,Suzuki DRZ400SM,398,Class 2A,Super Motards
708,Vespa Sprint Sport 150 ABS,10000,vespa,Vespa Sprint Sport 150 ABS,155,Class 2B,Scooters
709,Yamaha Tmax 530 DX,23888,yamaha,Yamaha Tmax 530 DX,530,Class 2,Scooters
710,Yamaha XJ6 Diversion F,3000,yamaha,Yamaha XJ6 Diversion F,600,Class 2,Street Bikes
711,Honda CBR150R,7700,honda,Honda CBR150R,150,Class 2B,Sport Bikes
712,Ducati Monster MS2R,7500,ducati,Ducati Monster MS2R,803,Class 2,Street Bikes
713,Honda NC750XA,9000,honda,Honda NC750XA,745,Class 2,Sport Tourers
714,Yamaha Xmax 300,15000,yamaha,Yamaha Xmax 300,292,Class 2A,Scooters
715,Honda CBR400R,9200,honda,Honda CBR400R,399,Class 2A,Sport Bikes
716,Harley Davidson FXDF Dyna Fat Bob,22000,harley davidson,Harley Davidson FXDF Dyna Fat Bob,1584,Class 2,Cruiser
717,Honda CB190R,9999,honda,Honda CB190R,184,Class 2B,Street Bikes
718,BMW G310GS,16999,bmw,BMW G310GS,313,Class 2A,Sport Tourers
719,Yamaha Tmax 530,13000,yamaha,Yamaha Tmax 530,530,Class 2,Scooters
720,Honda Adv 150,17856,honda,Honda Adv 150,149,Class 2B,Scooters
721,Indian Springfield,40000,indian,Indian Springfield,1811,Class 2,Cruiser
722,Yamaha FZ1-S,7000,yamaha,Yamaha FZ1-S,998,Class 2,Street Bikes
723,Yamaha YBR250,12888,yamaha,Yamaha YBR250,249,Class 2A,Three Wheeler
724,Yamaha YBR125,7288,yamaha,Yamaha YBR125,124,Class 2B,Street Bikes
725,Honda CB400X,18500,honda,Honda CB400X,399,Class 2A,Sport Tourers
726,BMW S1000RR,50000,bmw,BMW S1000RR,999,Class 2,Sport Bikes
727,Yamaha FZ16,6188,yamaha,Yamaha FZ16,153,Class 2B,Street Bikes
728,Aprilia Scarabeo 200 CVT,4388,aprilia,Aprilia Scarabeo 200 CVT,181,Class 2B,Scooters
729,SYM Joyride 200i Evo,2200,sym,SYM Joyride 200i Evo,171,Class 2B,Scooters
730,ZongShen ZS125 Pursuit,3288,zongshen,ZongShen ZS125 Pursuit,124,Class 2B,Cruiser
731,SYM Joyride 200i Evo,5000,sym,SYM Joyride 200i Evo,171,Class 2B,Scooters
732,Lambretta V200 Special,15000,lambretta,Lambretta V200 Special,169,Class 2B,Scooters
733,Honda CB400 Super 4 Revo,12599,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
734,Honda CBR150R,3500,honda,Honda CBR150R,150,Class 2B,Sport Bikes
735,Kawasaki EX300 Ninja,9500,kawasaki,Kawasaki EX300 Ninja,296,Class 2A,Sport Bikes
736,SYM Joyride S200i,7999,sym,SYM Joyride S200i,175,Class 2B,Scooters
737,Qooder Quadro,35000,qooder,Qooder Quadro,398,Class 2A,Three Wheeler
738,Bajaj Pulsar NS200,10000,bajaj,Bajaj Pulsar NS200,200,Class 2B,Street Bikes
739,Honda GLS200 Tiger,8000,honda,Honda GLS200 Tiger,197,Class 2B,Street Bikes
740,Honda CB400 Super 4 Revo,16200,honda,Honda CB400 Super 4 Revo,399,Class 2A,Street Bikes
741,KTM 390 Duke,6800,ktm,KTM 390 Duke,373,Class 2A,Street Bikes
742,Honda NC700X,11000,honda,Honda NC700X,670,Class 2,Sport Tourers
743,Adiva AD1 200,0,adiva,Adiva AD1 200,190,Class 2B,Three Wheeler
744,Adiva AD2 400,0,adiva,Adiva AD2 400,399,Class 2A,Scooters
745,Adiva AD3 300,0,adiva,Adiva AD3 300,299,Class 2A,Three Wheeler
746,Adiva AD3 400,0,adiva,Adiva AD3 400,399,Class 2A,Three Wheeler
747,Adiva AR3 200,0,adiva,Adiva AR3 200,190,Class 2B,Three Wheeler
748,Aprilia Dorsoduro 900,0,aprilia,Aprilia Dorsoduro 900,896,Class 2,Super Motards
749,Aprilia RS125,0,aprilia,Aprilia RS125,124,Class 2B,Sport Bikes
750,Aprilia RS660,0,aprilia,Aprilia RS660,659,Class 2,Sport Bikes
751,Aprilia RSV4 1100 Factory,0,aprilia,Aprilia RSV4 1100 Factory,1077,Class 2,Sport Bikes
752,Aprilia RSV4 RR,0,aprilia,Aprilia RSV4 RR,999,Class 2,Sport Bikes
753,Aprilia Shiver 900,0,aprilia,Aprilia Shiver 900,896,Class 2,Street Bikes
754,Aprilia SR GT 200,0,aprilia,Aprilia SR GT 200,174,Class 2B,Scooters
755,Aprilia SR Max 300,0,aprilia,Aprilia SR Max 300,278,Class 2A,Scooters
756,Aprilia SR Motard 125,0,aprilia,Aprilia SR Motard 125,124,Class 2B,Scooters
757,Aprilia SRV 850 ABS,0,aprilia,Aprilia SRV 850 ABS,839,Class 2,Scooters
758,Aprilia SX125,0,aprilia,Aprilia SX125,124,Class 2B,Super Motards
759,Aprilia Tuareg 660,0,aprilia,Aprilia Tuareg 660,660,Class 2,Sport Tourers
760,Aprilia Tuono 125,0,aprilia,Aprilia Tuono 125,124,Class 2B,Street Bikes
761,Aprilia Tuono V4 1100 Factory,0,aprilia,Aprilia Tuono V4 1100 Factory,1077,Class 2,Sport Bikes
762,Aprilia Tuono V4 1100RR,0,aprilia,Aprilia Tuono V4 1100RR,1077,Class 2,Sport Bikes
763,Bajaj Avenger Cruise 220,0,bajaj,Bajaj Avenger Cruise 220,220,Class 2A,Cruiser
764,Bajaj Avenger Street 180,0,bajaj,Bajaj Avenger Street 180,180,Class 2B,Street Bikes
765,Bajaj Avenger Street 220,0,bajaj,Bajaj Avenger Street 220,220,Class 2A,Street Bikes
766,Bajaj Discover 110,0,bajaj,Bajaj Discover 110,115,Class 2B,Street Bikes
767,Bajaj Discover 125,0,bajaj,Bajaj Discover 125,125,Class 2B,Street Bikes
768,Bajaj Dominar 400,0,bajaj,Bajaj Dominar 400,373,Class 2A,Street Bikes
769,Bajaj Platina,0,bajaj,Bajaj Platina,102,Class 2B,Street Bikes
770,Bajaj Pulsar 150,0,bajaj,Bajaj Pulsar 150,149,Class 2B,Street Bikes
771,Bajaj Pulsar 180F,0,bajaj,Bajaj Pulsar 180F,178,Class 2B,Street Bikes
772,Bajaj Pulsar NS200,0,bajaj,Bajaj Pulsar NS200,199,Class 2B,Street Bikes
773,Bajaj Pulsar RS200,0,bajaj,Bajaj Pulsar RS200,199,Class 2B,Sport Bikes
774,Benelli 302R,0,benelli,Benelli 302R,300,Class 2A,Sport Bikes
775,Benelli Leoncino,0,benelli,Benelli Leoncino,499,Class 2,Street Bikes
776,Benelli RFS150i,0,benelli,Benelli RFS150i,149,Class 2B,Cubs
777,Benelli TNT135,0,benelli,Benelli TNT135,134,Class 2B,Super Motards
778,Benelli TNT300,0,benelli,Benelli TNT300,300,Class 2A,Street Bikes
779,Benelli TNT600,0,benelli,Benelli TNT600,600,Class 2,Street Bikes
780,Benelli TRE1130K,0,benelli,Benelli TRE1130K,1131,Class 2,Sport Tourers
781,Benelli TRK502,0,benelli,Benelli TRK502,499,Class 2,Sport Tourers
782,Beta RR 200,0,beta,Beta RR 200,190,Class 2B,Scrambler/Dirt Bike
783,Beta RR 300,0,beta,Beta RR 300,293,Class 2A,Scrambler/Dirt Bike
784,Beta RR 300 Racing,0,beta,Beta RR 300 Racing,293,Class 2A,Scrambler/Dirt Bike
785,Beta Xtrainer 300,0,beta,Beta Xtrainer 300,293,Class 2A,Scrambler/Dirt Bike
786,Bimota BB3,0,bimota,Bimota BB3,999,Class 2,Sport Bikes
787,Bimota DB8,0,bimota,Bimota DB8,1198,Class 2,Sport Bikes
788,Bimota DB8 Oronero,0,bimota,Bimota DB8 Oronero,1198,Class 2,Sport Bikes
789,Bimota DB9,0,bimota,Bimota DB9,1198,Class 2,Sport Tourers
790,Bimota DBX,0,bimota,Bimota DBX,1078,Class 2,Super Motards
791,Bimota Tesi 3D,0,bimota,Bimota Tesi 3D,1078,Class 2,Street Bikes
792,BMW C400 GT,0,bmw,BMW C400 GT,350,Class 2A,Scooters
793,BMW C400X,0,bmw,BMW C400X,350,Class 2A,Scooters
794,BMW C650 GT,0,bmw,BMW C650 GT,647,Class 2,Scooters
795,BMW C650 Sport,0,bmw,BMW C650 Sport,647,Class 2,Scooters
796,BMW F700GS,0,bmw,BMW F700GS,798,Class 2,Sport Tourers
797,BMW F750GS,0,bmw,BMW F750GS,853,Class 2,Sport Tourers
798,BMW F850GS,0,bmw,BMW F850GS,853,Class 2,Sport Tourers
799,BMW F850GS Adventure,0,bmw,BMW F850GS Adventure,853,Class 2,Sport Tourers
800,BMW G310GS,0,bmw,BMW G310GS,313,Class 2A,Sport Tourers
801,BMW G310R,0,bmw,BMW G310R,313,Class 2A,Street Bikes
802,BMW HP4 Race,0,bmw,BMW HP4 Race,999,Class 2,Sport Bikes
803,BMW K1600 Grand America,0,bmw,BMW K1600 Grand America,1649,Class 2,Sport Tourers
804,BMW K1600B,0,bmw,BMW K1600B,1649,Class 2,Cruiser
805,BMW K1600GT,0,bmw,BMW K1600GT,1649,Class 2,Sport Tourers
806,BMW K1600GTL,0,bmw,BMW K1600GTL,1649,Class 2,Sport Tourers
807,BMW M1000RR,0,bmw,BMW M1000RR,999,Class 2,Sport Bikes
808,BMW R NineT,0,bmw,BMW R NineT,1170,Class 2,Street Bikes
809,BMW R NineT Pure,0,bmw,BMW R NineT Pure,1170,Class 2,Street Bikes
810,BMW R NineT Racer,0,bmw,BMW R NineT Racer,1170,Class 2,Classic Bikes
811,BMW R NineT Scrambler,0,bmw,BMW R NineT Scrambler,1170,Class 2,Street Bikes
812,BMW R NineT Urban GS,0,bmw,BMW R NineT Urban GS,1170,Class 2,Street Bikes
813,BMW R1200GS,0,bmw,BMW R1200GS,1170,Class 2,Sport Tourers
814,BMW R1200GS Adventure,0,bmw,BMW R1200GS Adventure,1170,Class 2,Sport Tourers
815,BMW R1200R,0,bmw,BMW R1200R,1170,Class 2,Street Bikes
816,BMW R1200RS,0,bmw,BMW R1200RS,1170,Class 2,Sport Bikes
817,BMW R1200RT,0,bmw,BMW R1200RT,1170,Class 2,Sport Tourers
818,BMW R1250GS,0,bmw,BMW R1250GS,1254,Class 2,Sport Tourers
819,BMW R1250GS Adventure,0,bmw,BMW R1250GS Adventure,1254,Class 2,Sport Tourers
820,BMW R1250R,0,bmw,BMW R1250R,1254,Class 2,Street Bikes
821,BMW R1250RT,0,bmw,BMW R1250RT,1254,Class 2,Sport Tourers
822,BMW R18 Classic,0,bmw,BMW R18 Classic,1802,Class 2,Cruiser
823,BMW S1000R,0,bmw,BMW S1000R,999,Class 2,Street Bikes
824,BMW S1000RR,0,bmw,BMW S1000RR,999,Class 2,Sport Bikes
825,BMW S1000XR,0,bmw,BMW S1000XR,999,Class 2,Sport Tourers
826,Brixton Cromwell BX150,0,brixton,Brixton Cromwell BX150,149,Class 2B,Street Bikes
827,Brixton Felsberg 150,0,brixton,Brixton Felsberg 150,150,Class 2B,Street Bikes
828,Brixton Rayburn 125,0,brixton,Brixton Rayburn 125,125,Class 2B,Street Bikes
829,Can-Am Ryker,0,can-am,Can-Am Ryker,899,Class 2,Three Wheeler
830,Can-Am Spyder F3,0,can-am,Can-Am Spyder F3,1330,Class 2,Three Wheeler
831,Can-Am Spyder F3 Limited,0,can-am,Can-Am Spyder F3 Limited,1330,Class 2,Three Wheeler
832,Can-Am Spyder F3-S,0,can-am,Can-Am Spyder F3-S,1330,Class 2,Three Wheeler
833,Can-Am Spyder F3-T,0,can-am,Can-Am Spyder F3-T,1330,Class 2,Three Wheeler
834,Can-Am Spyder RT,0,can-am,Can-Am Spyder RT,998,Class 2,Three Wheeler
835,CFMoto 150NK,0,cfmoto,CFMoto 150NK,150,Class 2B,Street Bikes
836,CFMoto 300SR,0,cfmoto,CFMoto 300SR,292,Class 2A,Sport Bikes
837,CFMoto 400GT,0,cfmoto,CFMoto 400GT,400,Class 2A,Sport Tourers
838,CFMoto 400NK,0,cfmoto,CFMoto 400NK,400,Class 2A,Street Bikes
839,CFMoto 400NK,0,cfmoto,CFMoto 400NK,400,Class 2A,Street Bikes
840,CFMoto 650GT,0,cfmoto,CFMoto 650GT,649,Class 2,Sport Tourers
841,CFMoto 650MT,0,cfmoto,CFMoto 650MT,650,Class 2,Sport Tourers
842,CFMoto 650NK,0,cfmoto,CFMoto 650NK,650,Class 2,Street Bikes
843,CFMoto 700CL-X Heritage,0,cfmoto,CFMoto 700CL-X Heritage,693,Class 2,Street Bikes
844,CFMoto 700CL-X Sport,0,cfmoto,CFMoto 700CL-X Sport,693,Class 2,Street Bikes
845,CFMoto 800MT Touring,0,cfmoto,CFMoto 800MT Touring,799,Class 2,Sport Tourers
846,CPI Aragon 125,0,cpi,CPI Aragon 125,124,Class 2B,Scooters
847,CPI Oliver 125,0,cpi,CPI Oliver 125,124,Class 2B,Scooters
848,CPI SM125,0,cpi,CPI SM125,124,Class 2B,Super Motards
849,CPI SM250,0,cpi,CPI SM250,250,Class 2A,Super Motards
850,CPI VGO,0,cpi,CPI VGO,124,Class 2B,Scooters
851,CPI XR125,0,cpi,CPI XR125,124,Class 2B,Street Bikes
852,CPI XR250,0,cpi,CPI XR250,227,Class 2A,Street Bikes
853,Daelim B-bone 125,0,daelim,Daelim B-bone 125,124,Class 2B,Scooters
854,Daelim CB115,0,daelim,Daelim CB115,113,Class 2B,Cubs
855,Daelim Daystar XS150,0,daelim,Daelim Daystar XS150,150,Class 2B,Cruiser
856,Daelim Roadwin R 125,0,daelim,Daelim Roadwin R 125,124,Class 2B,Sport Bikes
857,Daelim Roadwin R 250,0,daelim,Daelim Roadwin R 250,246,Class 2A,Sport Bikes
858,Daelim S3 SV125,0,daelim,Daelim S3 SV125,124,Class 2B,Scooters
859,Daelim XQ125,0,daelim,Daelim XQ125,125,Class 2B,Scooters
860,Daelim XQ250,0,daelim,Daelim XQ250,247,Class 2A,Scooters
861,Ducati 1299 Panigale R Final Edition,0,ducati,Ducati 1299 Panigale R Final Edition,1285,Class 2,Sport Bikes
862,Ducati 959 Panigale,0,ducati,Ducati 959 Panigale,955,Class 2,Sport Bikes
863,Ducati 959 Panigale Corse,0,ducati,Ducati 959 Panigale Corse,955,Class 2,Sport Bikes
864,Ducati Diavel 1260,0,ducati,Ducati Diavel 1260,1262,Class 2,Street Bikes
865,Ducati Diavel 1260 Lamborghini,0,ducati,Ducati Diavel 1260 Lamborghini,1262,Class 2,Street Bikes
866,Ducati Diavel 1260 S,0,ducati,Ducati Diavel 1260 S,1262,Class 2,Street Bikes
867,Ducati Diavel Carbon,0,ducati,Ducati Diavel Carbon,1198,Class 2,Street Bikes
868,Ducati Diavel Diesel,0,ducati,Ducati Diavel Diesel,1198,Class 2,Street Bikes
869,Ducati Hypermotard 950,0,ducati,Ducati Hypermotard 950,937,Class 2,Super Motards
870,Ducati Hypermotard 950 RVE,0,ducati,Ducati Hypermotard 950 RVE,937,Class 2,Super Motards
871,Ducati Hypermotard 950 SP,0,ducati,Ducati Hypermotard 950 SP,937,Class 2,Super Motards
