,motor_name,motor_price,year
182,Honda NC700X ABS ,17000,2016
183,Honda NC750D ABS ,20000,2015
184,Honda NC750X ABS ,17000,2015
185,Honda NC750X ABS ,18000,2015
186,Honda NC750X MT ABS ,18800,2021
187,Honda NC750XD ABS ,21000,2015
188,Honda NM4 670 ABS ,30000,2016
189,Honda NM4 750 Vultus ABS ,19600,2015
190,Honda PCX150 Non ABS ,7800,2015
191,Honda PCX160 ABS ,18100,2021
192,Honda RC213V-S ABS ,35000,2016
193,Honda Rebel 234 ABS ,18000,2016
194,Honda RS150R Tri Colour Non ABS ,6000,2017
195,Honda RVF400 Non ABS ,9500,1994
196,Honda Sabre ABS ,25000,2013
197,Honda Shadow 400 ABS ,20000,2016
198,Honda Shadow 745 (Line) ABS ,26000,2016
199,Honda Silverwing FJS400A ABS ,19000,2016
200,Honda Silverwing FJS400D ABS ,17200,2015
201,Honda Silverwing FJS400D ABS ,17200,2015
202,Honda ST1300A Pan Euro ABS ,32500,2015
203,Honda ST1300A Pan Euro ABS ,32500,2015
204,Honda Stateline ABS ,25000,2016
205,Honda VFR1200F ABS ,35000,2015
206,Honda VFR1200F ABS DCT ,38000,2015
207,Honda VFR1200X ABS ,35000,2016
208,Honda VFR1200X CrossTourer ABS ,33200,2015
209,Honda VFR1200X CrossTourer ABS DCT ,35800,2015
210,Honda VFR800X Crossrunner ABS ,23600,2015
211,Honda VFX800 Crossrunner ABS ,28000,2016
212,Honda Wave 125Fi Non ABS ,5900,2015
213,Honda Wave 125X A Non ABS ,5000,2011
214,Honda Winner X 150 Non ABS ,6300,2021
215,Honda X-ADV750 ABS ,28500,2021
216,Honda XR100 Motard Non ABS ,7500,2016
217,Honda XR125L Non ABS ,8000,2016
218,Honda XR200R Non ABS ,9000,2016
219,Honda XR250L Non ABS ,12000,2016
220,Honda XR400R Non ABS ,18000,2016
221,Honda XR650L Non ABS ,21000,2016
222,Husqvarna FE-250 Non ABS ,19500,2016
223,Husqvarna FE-450 Non ABS ,22500,2016
224,Husqvarna FE-501 Non ABS ,23500,2016
225,Husqvarna FE350 Non ABS ,17500,2015
226,Husqvarna FE350 Non ABS ,19500,2016
227,Husqvarna Norden 901 ABS ,38000,2021
228,Husqvarna Svartpilen 200 ABS ,9900,2021
229,Husqvarna Svartpilen 401 ABS ,15900,2018
230,Husqvarna Svartpilen 401 ABS ,15900,2020
231,Husqvarna Svartpilen 401 ABS ,15900,2022
232,Husqvarna TE-125 Non ABS ,17500,2016
233,Husqvarna TE-250 Non ABS ,18500,2016
234,Husqvarna Vitpilen 401 ABS ,15900,2018
235,Husqvarna Vitpilen 401 ABS ,15900,2021
236,Kawasaki 1400GTR ABS 2014,35000,2014
237,Kawasaki Concours 14 ABS ,45000,2016
238,Kawasaki Concours 14 ABS ,45000,2016
239,Kawasaki D Tracker KLX 150 Non ABS ,9000,2016
240,Kawasaki ER-6N ABS ,15800,2015
241,Kawasaki ER-6N ABS ,15800,2015
242,Kawasaki KLR 650 Camo Non ABS ,23500,2016
243,Kawasaki KLR 650 Non ABS ,23500,2016
244,Kawasaki KLX 110 Non ABS ,8000,2016
245,Kawasaki KLX 110 Non ABS ,8000,2016
246,Kawasaki KLX 110L Non ABS ,7500,2015
247,Kawasaki KLX 125 Non ABS ,9900,2016
248,Kawasaki KLX 140 Non ABS ,10500,2016
249,Kawasaki KLX 140 Non ABS ,10500,2016
250,Kawasaki KLX 140G Non ABS ,10800,2016
251,Kawasaki KLX 140L Non ABS ,10800,2016
252,Kawasaki KLX 150 BF Non ABS ,11900,2016
253,Kawasaki KLX 250 Non ABS ,13500,2016
254,Kawasaki KLX250S Non ABS ,14500,2008
255,Kawasaki KRR ZX150 (M) Non ABS ,8000,2003
256,Kawasaki KRR ZX150 (M) Non ABS ,11800,2004
257,Kawasaki KRRZX 150 M Non ABS ,15000,2003
258,Kawasaki KSR 110 Non ABS ,9000,2016
259,Kawasaki KX 100 Non ABS ,10900,2016
260,Kawasaki KX 250F Non ABS ,12900,2016
261,Kawasaki KX 250F Non ABS ,12900,2016
262,Kawasaki KX 450F Non ABS ,14900,2016
263,Kawasaki KX 450F Non ABS ,14900,2016
264,Kawasaki KX 65 Non ABS ,8500,2016
265,Kawasaki KX 65 Non ABS ,8500,2016
266,Kawasaki KX 85 Non ABS ,9500,2016
267,Kawasaki KX 85 Non ABS ,9500,2016
268,Kawasaki Ninja 1000 ABS ,26800,2015
269,Kawasaki Ninja 300 ABS ,12400,2015
270,Kawasaki Ninja 650 ABS ,21000,2016
271,Kawasaki Ninja 650 ABS ,21000,2016
272,Kawasaki Ninja 650 R ER6 ABS 2014,15800,2014
273,Kawasaki Ninja 650 R ER6 ABS 2014,15800,2014
274,Kawasaki Ninja 650R ABS ,21500,2016
275,Kawasaki Ninja H2 ABS ,46500,2015
276,Kawasaki Ninja H2 R ABS ,42000,2016
277,Kawasaki Ninja H2R Supercharged ABS ,44000,2016
278,Kawasaki Ninja ZX-10R ABS ,32000,2015
279,Kawasaki Ninja ZX-14R ABS Ohlins ,31500,2015
280,Kawasaki Ninja ZX-6R ABS ,22500,2015
281,Kawasaki Versys 1000 ABS ,32000,2016
282,Kawasaki Versys 650 ABS,17800,2022
283,Kawasaki Versys 650 ABS,17800,2022
284,Kawasaki Versys 650 LT ABS ,29000,2016
285,Kawasaki Vulcan 1700 Vaquero ABS ,37000,2016
286,Kawasaki Vulcan 1700 Vaquero ABS ,37000,2016
287,Kawasaki Vulcan 1700 Voyager ABS ,34000,2015
288,Kawasaki Vulcan 900 Classic ABS ,17800,2015
289,Kawasaki Vulcan 900 Classic ABS ,17800,2015
290,Kawasaki Vulcan 900 Classic LT ABS ,32000,2016
291,Kawasaki Vulcan 900 Custom ABS ,17800,2015
292,Kawasaki Vulcan 900 Custom ABS ,17800,2015
293,Kawasaki Vulcan S ABS ,16500,2015
294,Kawasaki W800 ,19800,2015
295,Kawasaki Z1000 ABS ,24800,2015
296,Kawasaki Z300 ABS ,16500,2016
297,Kawasaki Z800 ABS ,17800,2015
298,KTM 1090 Adventure R ABS ,33000,2017
299,KTM 1190 Adventure ABS ,32500,2016
300,KTM 1190 Adventure R ABS,33000,2022
301,KTM 1290 Super Duke R ABS ,33900,2015
302,KTM 1290 Super Duke R ABS ,33900,2015
303,KTM 200 Duke ABS ,9900,2021
304,KTM 250 EXC-F Non ABS ,12300,2016
305,KTM 350 EXC-F Factory Edition Non ABS ,19500,2015
306,KTM 350 EXC-F Non ABS ,18500,2015
307,KTM 350 EXC-F Non ABS ,18500,2015
308,KTM 350 EXC-F Six Days Non ABS ,19500,2015
309,KTM 350 EXC-F Six Days Non ABS ,19500,2015
310,KTM 350 EXC-F Six Days Non ABS ,19500,2015
311,KTM 390 Adventure ABS ,13900,2021
312,KTM 390 Duke ABS ,10800,2016
313,KTM 390 Duke ABS ,11900,2021
314,KTM 690 SMC R ABS ,22800,2015
315,KTM 790 ADVENTURE R ABS ,12000,2019
316,KTM Duke 125 ABS ,9900,2017
317,KTM Duke 200 ABS ,6350,2015
318,KTM Duke 200 Bikers Edition Non ABS ,10900,2016
319,KTM Duke 200 Non ABS ,9900,2015
320,KTM Duke 200 Non ABS ,9900,2016
321,KTM Duke 200 Non ABS ,7800,2016
322,KTM Duke 200 Non ABS ,8800,2017
323,KTM Duke 200 Racing Decal Non ABS ,9900,2016
324,KTM Duke 390 ABS 2014,11900,2014
325,KTM Duke 390 ABS ,11900,2015
326,KTM Duke 390 ABS ,11900,2017
327,KTM Duke 390 ABS ,12000,2017
328,KTM Duke 690 2ABS 014,22000,2014
329,KTM Duke 690 ABS 2014,22000,2014
330,KTM Duke 690 ABS ,22000,2016
331,KTM Enduro R 690 Non ABS ,22800,2015
332,KTM Enduro R 690 Non ABS ,22800,2015
333,KTM EXC 300 Non ABS ,17500,2015
334,KTM EXC 300 Non ABS ,17500,2017
335,KTM EXC 500 Non ABS ,19000,2016
336,KTM Freeride 350 Non ABS ,16500,2015
337,KTM RC 200 Non ABS ,10900,2015
338,KTM RC 200 Non ABS ,10900,2016
339,KTM RC 200 Non ABS ,10900,2016
340,KTM RC 200 Non ABS ,10900,2017
341,KTM RC 390 ABS ,12900,2015
342,KTM RC 390 ABS ,12900,2015
343,KTM RC 390 ABS ,12900,2015
344,KTM RC 390 ABS ,9900,2017
345,KTM RC 8 R 1190 ABS ,36000,2015
346,KTM RC 8 R 1190 ABS ,36000,2015
347,KTM RC200 ABS ,6000,2015
348,KTM RC390 ABS ,6500,2014
349,KTM RC390 ABS ,9800,2017
350,KTM Super Adventure 1290 ABS ,36000,2015
351,M.V. Agusta F3 675 Manual ABS ,21888,2016
352,Piaggio 125 MP3 ABS ,13600,2016
353,Piaggio 300 MP3 Yourban ,15200,2016
354,Piaggio 400 MP3 ABS ,15400,2016
355,Piaggio GT125 X10 ABS ,13000,2016
356,Piaggio GT350 X10 ABS ,14700,2016
357,Piaggio GT500 X10 ABS ,17000,2016
358,Piaggio Vespa 946 ,22200,2016
359,Piaggio Vespa GTS 150 ,8600,2018
360,Piaggio Vespa GTS 150 ABS ,8700,2021
361,Piaggio Vespa GTS 300 Super ABS ,12300,2018
362,Piaggio Vespa GTS 300 SuperTech ABS ,12300,2021
363,Piaggio Vespa GTS300ie Super ,13200,2016
364,Piaggio Vespa GTS300ie Super Sport ,13800,2016
365,Piaggio Vespa Primavera 150 ,9300,2016
366,Piaggio Vespa Primavera 150 ABS ,9300,2018
367,Piaggio Vespa Primavera 150 ABS ,8700,2021
368,Piaggio Vespa Primavera S 150 ABS ,7500,2021
369,Piaggio Vespa PX150 ,10000,2016
370,Piaggio Vespa Sprint 150 ABS ,10000,2016
371,Piaggio Vespa Sprint 150 S TFT ABS ,8000,2021
372,Piaggio Vespa Sprint Sport 150 ABS ,8500,2018
373,Piaggio Vespa Sprint Sport 150 ABS E4 LED ,13000,2019
374,Piaggio XEVO 125 ,8500,2016
375,Royal Enfield Classic 500 ,13500,2016
376,Suzuki AN200 Burgman ABS ,9500,2015
377,Suzuki AN400 Burgman ABS ,16800,2015
378,Suzuki AN400A Burgman 400 ABS ,17500,2018
379,Suzuki AN650 Burgman ABS ,21900,2015
380,Suzuki Bandit 1250S ABS ,38000,2016
381,Suzuki Boulevard C50 ABS ,32000,2016
382,Suzuki Boulevard C50T ABS ,32000,2016
383,Suzuki Boulevard C90 B.O.S.S. ABS ,34000,2016
384,Suzuki Boulevard C90T ABS ,34000,2016
385,Suzuki Boulevard M109R ABS ,36000,2016
386,Suzuki Boulevard M109R B.O.S.S. ABS ,37000,2016
387,Suzuki Boulevard M109R Limited Edition ABS ,37500,2016
388,Suzuki Boulevard M50 ABS ,32000,2016
389,Suzuki Boulevard M90 ABS ,34000,2016
390,Suzuki Boulevard S40 ABS ,32000,2016
391,Suzuki Burgman 200 ABS ,9500,2018
392,Suzuki DL1000 V-Strom ABS ,26500,2015
393,Suzuki DL650 V-Strom ABS ,21800,2015
394,Suzuki DR 125 SM Non ABS ,8500,2016
395,Suzuki DR 200 SE Non ABS ,9900,2016
396,Suzuki DR 350 Non ABS ,12500,2016
397,Suzuki DR 650 SE Non ABS ,19500,2016
398,Suzuki DR-Z125L Non ABS ,9900,2016
399,Suzuki DR-Z400S Non ABS ,15900,2016
400,Suzuki DR-Z70 Non ABS ,7900,2016
401,Suzuki DR200S Non ABS ,9900,2016
402,Suzuki DR200SE Non ABS ,9900,2013
403,Suzuki DR650E Non ABS 2014,21500,2014
404,Suzuki DR650S Non ABS ,21500,2016
405,Suzuki Extrigger ABS ,18000,2016
406,Suzuki GSR750 ABS ,19900,2015
407,Suzuki GSX-R1000 ABS ,32500,2016
408,Suzuki GSX-R1000 Commemorative ABS ,33000,2016
409,Suzuki GSX-R1000 L4 ABS ,30000,2015
410,Suzuki GSX-R1300 L4 ABS ,28000,2015
411,Suzuki GSX-R1300 L4 ABS ,30000,2015
412,Suzuki GSX-R600 ABS ,29000,2016
413,Suzuki GSX-R600 L4 ABS ,22900,2015
414,Suzuki GSX-R750 50th Anniversary Edition ABS ,31000,2016
415,Suzuki GSX-R750 ABS ,30000,2016
416,Suzuki GSX-R750 L4 ABS ,24900,2015
417,Suzuki GSX-S1000 ABS ,31500,2016
418,Suzuki GSX-S1000F ABS ,32000,2016
419,Suzuki GSX-S150 ABS ,7800,2022
420,Suzuki GSX-S750 ABS ,28000,2016
421,Suzuki GSX-S750Z ABS ,28500,2015
422,Suzuki GW250F Non ABS ,13000,2015
423,Suzuki GW250Z Non ABS ,13000,2015
424,Suzuki Hayabusa 50th Anniversary Edition ABS ,46000,2016
425,Suzuki Hayabusa ABS ,45000,2016
426,Suzuki RM-Z250 Non ABS ,11900,2016
427,Suzuki RM-Z450 Non ABS ,14000,2016
428,Suzuki SFV650 ABS ,23000,2015
429,Suzuki TU250X ABS ,15000,2016
430,Suzuki V-strom 650 Adventure ABS ,28000,2015
431,Suzuki V-strom 650XT ABS ,28000,2016
432,Suzuki Van Van 200 Non ABS ,9000,2016
433,Suzuki Vanvan 125 Non ABS ,9000,2015
434,Suzuki VL800 Intruder ABS ,22500,2015
435,Suzuki VZ800 Intruder ABS ,20500,2015
436,Suzuki VZR1800 Intruder ABS ,31500,2015
437,SYM 200 HD Non ABS ,6800,2016
438,SYM 200 Joyride EFI ABS ,6800,2016
439,SYM 300 Joy Max ABS ,10000,2016
440,SYM 400 Max Sym ABS ,11400,2016
441,SYM Com Biz 125 Non ABS ,5400,2016
442,SYM DRG - 158cc ABS ,5800,2021
443,SYM Maxsym TL500 ABS ,29600,2020
444,Triumph America ABS ,23000,2016
445,Triumph America LT ABS ,23500,2016
446,Triumph Bonneville ABS ,25000,2016
447,Triumph Bonneville T100 ABS ,25500,2016
448,Triumph Bonneville T100 Black ABS ,25500,2016
449,Triumph Daytona 675 ABS ,23800,2016
450,Triumph Daytona 675 ABS ,22800,2016
451,Triumph Daytona 675 Launch ABS ,23800,2016
452,Triumph Daytona 675R ABS ,26800,2016
453,Triumph Daytona 675R ABS ,25400,2016
